Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Saiki Hiroto,9,4,1,0,0,1,1,186,47.0,40,4,43,11,1,0,0,10,8,1.53,3.08,3.08,1.09,204,89,86,-1.55,2.2%,23.1%,5.9%,17.2%,37.7%,32.8%,73.5%,12.4%,30.7%,91.6,Hanshin Tigers,23,R,CL
Saitoh Yukiya,20,0,1,0,0,0,0,107,23.1,23,2,27,10,0,3,0,14,13,5.01,3.57,3.21,1.41,62,103,89,1.44,1.9%,25.2%,9.3%,15.9%,48.5%,28.6%,70.0%,14.1%,29.7%,94.9,Hanshin Tigers,27,R,CL
Shimamoto Hiroya,15,0,0,0,2,0,0,56,14.0,12,1,11,2,0,0,0,4,4,2.57,2.89,3.19,1.00,121,83,89,-0.32,1.8%,19.6%,3.6%,16.1%,55.8%,32.7%,76.1%,11.6%,29.3%,89.0,Hanshin Tigers,29,L,CL
Watanabe Yuta,32,3,1,0,10,0,0,72,18.1,16,2,18,4,1,1,0,5,5,2.45,3.38,2.86,1.09,127,97,79,-0.93,2.8%,25.0%,5.6%,19.4%,56.2%,32.0%,72.5%,13.2%,33.1%,85.1,Hanshin Tigers,30,L,CL
Wilkerson Aaron,14,5,5,0,0,0,0,292,70.2,70,4,54,21,1,1,0,32,32,4.08,3.24,3.67,1.29,76,93,102,0.84,1.4%,18.5%,7.2%,11.3%,43.5%,24.9%,79.0%,9.4%,28.6%,89.6,Hanshin Tigers,33,R,CL
Yuasa Atsuki,59,2,3,0,43,0,0,221,58.0,38,1,67,12,0,0,2,7,7,1.09,1.64,2.31,0.86,286,47,64,-0.55,0.5%,30.3%,5.4%,24.9%,56.3%,33.7%,72.7%,14.0%,29.4%,93.1,Hanshin Tigers,22,R,CL
Anderson Drew,13,3,4,0,0,0,0,293,70.0,61,9,59,23,0,3,0,32,28,3.60,4.20,3.57,1.20,88,119,99,-0.60,3.1%,20.1%,7.8%,12.3%,40.4%,26.5%,78.9%,9.6%,26.6%,91.8,Hiroshima Carp,28,R,CL
Corniel Robert,12,0,0,0,0,0,0,66,15.1,15,2,19,4,0,1,0,6,6,3.52,3.30,2.53,1.24,90,94,70,0.22,3.0%,28.8%,6.1%,22.7%,48.8%,32.5%,71.5%,15.1%,27.8%,95.8,Hiroshima Carp,27,R,CL
Endoh Atsushi,20,4,7,0,0,0,0,434,105.1,104,17,78,18,1,3,0,47,42,3.59,4.32,3.42,1.16,88,123,95,-0.73,3.9%,18.0%,4.1%,13.8%,41.6%,24.4%,82.0%,8.4%,28.7%,88.0,Hiroshima Carp,23,R,CL
Franzua Geronimo,3,0,0,0,0,0,0,18,3.1,2,0,4,5,0,1,1,3,3,8.10,6.10,5.36,2.10,39,173,149,2.00,0.0%,22.2%,27.8%,-5.6%,62.5%,26.4%,77.8%,9.3%,20.9%,92.9,Hiroshima Carp,28,L,CL
Fujii Reira,12,0,1,0,0,0,0,62,14.0,10,1,15,9,1,1,1,6,6,3.86,4.03,3.83,1.36,82,115,107,-0.17,1.6%,24.2%,14.5%,9.7%,48.5%,29.9%,74.8%,11.6%,27.4%,90.8,Hiroshima Carp,22,R,CL
Horie Atsuya,26,3,2,0,6,0,0,73,17.1,13,1,8,8,1,1,5,6,6,3.12,4.49,4.80,1.21,101,128,133,-1.37,1.4%,11.0%,11.0%,0.0%,59.6%,26.6%,83.1%,7.3%,22.7%,92.5,Hiroshima Carp,25,L,CL
