#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/21525138.html>Katsuno Akiyoshi</a>,1,0,1,0,0,0,0,5,0.2,1,0,0,2,1,0,0,1,1,13.50,12.05,8.80,4.50,23,384,262,1.45,0.0%,0.0%,40.0%,-40.0%,0.0%,27.3%,66.7%,7.7%,15.4%,93.4,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/37035159.html>Makino Kenshin</a>,1,0,1,0,0,0,0,6,1.0,1,0,0,2,0,0,0,1,1,9.00,9.05,8.13,3.00,35,288,242,-0.05,0.0%,0.0%,33.3%,-33.3%,75.0%,13.3%,100.0%,0.0%,23.3%,89.7,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,L,CL
,<a href=https://npb.jp/bis/eng/players/93295157.html>Mejia Humberto</a>,1,0,0,0,1,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.05,4.80,0.00,999,97,143,-3.05,0.0%,0.0%,0.0%,0.0%,100.0%,20.0%,100.0%,0.0%,25.0%,91.6,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,29,R,CL
,<a href=https://npb.jp/bis/eng/players/21925152.html>Sakurai Yorinosuke</a>,1,0,0,0,0,0,0,27,7.0,3,0,9,2,0,0,0,1,0,0.00,1.34,2.21,0.71,999,43,66,-1.34,0.0%,33.3%,7.4%,25.9%,31.2%,36.8%,70.2%,13.9%,30.7%,91.1,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
,<a href=https://npb.jp/bis/eng/players/61265153.html>Takahashi Hiroto</a>,1,0,1,0,0,1,0,31,8.0,6,0,9,1,1,0,0,1,0,0.00,1.18,2.22,0.88,999,38,66,-1.18,0.0%,29.0%,3.2%,25.8%,76.2%,50.0%,64.8%,18.4%,33.0%,94.1,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,23,R,CL
,<a href=https://npb.jp/bis/eng/players/63165134.html>Yanagi Yuya</a>,1,0,0,0,0,0,0,25,6.0,6,0,5,1,0,0,0,1,1,1.50,1.89,3.20,1.17,210,60,95,-0.39,0.0%,20.0%,4.0%,16.0%,42.1%,34.1%,73.2%,12.1%,35.2%,88.2,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,32,R,CL
,<a href=https://npb.jp/bis/eng/players/81285112.html>Hirano Yoshihisa</a>,1,0,0,0,1,0,0,4,1.0,1,1,1,0,0,0,0,1,1,9.00,14.05,2.30,1.00,37,425,69,-5.05,25.0%,25.0%,0.0%,25.0%,66.7%,44.4%,62.5%,18.8%,37.5%,85.9,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,42,R,PL
,<a href=https://npb.jp/bis/eng/players/41745159.html>Kotajima Seiryu</a>,1,0,0,0,1,0,0,5,1.0,2,0,1,0,0,0,1,1,1,9.00,1.05,2.80,2.00,37,32,83,7.95,0.0%,20.0%,0.0%,20.0%,50.0%,37.5%,90.9%,4.5%,31.8%,91.5,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,27,R,PL
,<a href=https://npb.jp/bis/eng/players/71775139.html>Kuri Allen</a>,1,1,0,0,0,1,1,31,9.0,4,0,12,0,0,1,0,0,0,0.00,0.72,0.93,0.44,999,22,28,-0.72,0.0%,38.7%,0.0%,38.7%,33.3%,25.0%,68.4%,13.6%,31.8%,88.8,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,34,R,PL
,<a href=https://npb.jp/bis/eng/players/43945159.html>Machado Andres</a>,1,0,0,1,0,0,0,4,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,92,143,-3.05,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,87.5%,9.1%,9.1%,98.6,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,33,R,PL
