                  Pitcher   G   W  L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%      K%    BB%   K-BB%                Team League
91            Mercedes CC  11   4  4   0    0   0    0  243   58.0   53   5   45  19    2   2   0  20  20   3.10   4.02   3.73  1.24  127   92    100  -0.92   2.1%   18.5%   7.8%   10.7%      Yomiuri Giants     CL
92       Miyaguni Ryosuke  21   0  0   0    0   0    0  109   25.1   27   5   22   8    1   0   1  15  15   5.33   5.14   3.52  1.38   74  118     95   0.19   4.6%   20.2%   7.3%   12.9%      Yomiuri Giants     CL
93          Nakagawa Kota  37   2  1   6   15   0    0  139   36.0   24   1   26  10    3   1   0   4   4   1.00   3.20   3.65  0.94  395   73     98  -2.20   0.7%   18.7%   7.2%   11.5%      Yomiuri Giants     CL
94           Naoe Daisuke   3   0  0   0    0   0    0   49   12.0   10   2   11   3    0   1   0   4   4   3.00   4.70   3.17  1.08  132  108     85  -1.70   4.1%   22.4%   6.1%   16.3%      Yomiuri Giants     CL
95          Numata Shohei   5   0  0   0    0   0    0   23    4.1    6   1    3   4    0   0   1   5   5  10.38   7.75   5.23  2.31   38  178    141   2.63   4.3%   13.0%  17.4%   -4.4%      Yomiuri Giants     CL
96             Ohe Ryusei  43   3  0   0    9   0    0  156   37.2   21   5   30  22    1   5   0  15  13   3.11   5.65   4.29  1.14  127  129    115  -2.54   3.2%   19.2%  14.1%    5.1%      Yomiuri Giants     CL
97             Ohtake Kan  29   1  2   0   16   0    0  100   24.1   20   3   16   9    0   1   0   9   7   2.59   4.88   4.10  1.19  152  112    110  -2.29   3.0%   16.0%   9.0%    7.0%      Yomiuri Giants     CL
98        Sakurai Toshiki  24   2  4   0    4   0    0  281   63.2   68  15   43  21    1   5   0  37  35   4.95   6.30   4.02  1.40   80  144    108  -1.35   5.3%   15.3%   7.5%    7.8%      Yomiuri Giants     CL
99          Sanchez Angel  15   8  4   0    0   0    0  363   87.2   74   8   59  34    1   0   0  35  30   3.08   4.37   4.11  1.23  128  100    110  -1.29   2.2%   16.3%   9.4%    6.9%      Yomiuri Giants     CL
100     Sawamura Hirokazu  13   1  1   0    1   0    0   64   13.1   14   1   11   8    0   2   0   9   9   6.08   4.94   4.33  1.65   65  113    116   1.14   1.6%   17.2%  12.5%    4.7%      Yomiuri Giants     CL
101       Sugano Tomoyuki  20  14  2   0    0   3    3  532  137.1   97   8  131  25    0   7   2  33  30   1.97   2.91   2.81  0.89  200   67     76  -0.94   1.5%   24.6%   4.7%   19.9%      Yomiuri Giants     CL
102        Taguchi Kazuto  26   5  7   1    2   0    0  379   89.1   91  10   58  26    2   5   2  48  46   4.63   4.56   3.96  1.31   85  104    106   0.07   2.6%   15.3%   6.9%    8.4%      Yomiuri Giants     CL
103        Takagi Kyosuke  17   0  1   1    4   0    0   49   12.1   11   1   12   2    0   0   2   5   5   3.65   2.96   2.76  1.05  108   68     74   0.69   2.0%   24.5%   4.1%   20.4%      Yomiuri Giants     CL
104        Takahashi Yuki   8   1  3   0    2   0    0  101   23.0   22   2   23  12    0   0   3  12  11   4.30   4.06   3.71  1.48   92   93    100   0.24   2.0%   22.8%  11.9%   10.9%      Yomiuri Giants     CL
105       Takanashi Yuhei  44   1  1   2   21   0    0  141   37.1   17   2   37  13    0   6   1  10   8   1.93   3.61   3.10  0.80  204   83     83  -1.68   1.4%   26.2%   9.2%   17.0%      Yomiuri Giants     CL
106         Tanaka Toyoki  31   1  1   0    1   0    0  133   27.2   32   4   21  18    1   3   0  19  15   4.88   6.00   4.57  1.81   81  137    123  -1.12   3.0%   15.8%  13.5%    2.3%      Yomiuri Giants     CL
107           Togo Shosei  19   9  6   0    0   0    0  446  107.2   87  12  106  42    0   6   1  33  33   2.76   4.18   3.37  1.20  143   96     91  -1.42   2.7%   23.8%   9.4%   14.4%      Yomiuri Giants     CL
108         Vieira Thyago  27   0  1   0    2   0    0  118   24.2   27   3   29  17    1   2   1   9   9   3.28   4.90   3.78  1.78  120  112    102  -1.62   2.5%   24.6%  14.4%   10.2%      Yomiuri Giants     CL
109          Yokogawa Kai   2   0  0   0    0   0    0   20    5.2    4   1    2   1    0   0   0   1   1   1.59   5.48   4.30  0.88  248  126    116  -3.89   5.0%   10.0%   5.0%    5.0%      Yomiuri Giants     CL
110             Hara Juri   5   2  2   0    1   0    0   88   17.1   20   6   14  13    0   1   0  16  10   5.19   8.67   4.69  1.90   80  189    126  -3.48   6.8%   15.9%  14.8%    1.1%     Yakult Swallows     CL
111       Hasegawa Hiroki  44   1  2   0    7   0    0  196   43.1   50   3   45  23    0   0   2  29  28   5.82   3.78   3.68  1.68   71   83     99   2.04   1.5%   23.0%  11.7%   11.3%     Yakult Swallows     CL
112          Hoshi Tomoya  36   0  1   0    3   0    0  216   48.0   57   7   40  24    0   1   2  28  28   5.25   5.16   4.06  1.69   79  113    109   0.09   3.2%   18.5%  11.1%    7.4%     Yakult Swallows     CL
113        Igarashi Ryota   1   0  0   0    0   0    0    1    0.1    0   0    0   0    0   0   0   0   0   0.00   3.36   4.80  0.00  999   73    129  -3.36   0.0%    0.0%   0.0%    0.0%     Yakult Swallows     CL
114     Ishikawa Masanori  15   2  8   0    0   0    0  331   76.1   85   7   41  19    2   2   2  40  38   4.48   4.31   4.14  1.36   92   94    111   0.17   2.1%   12.4%   5.7%    6.7%     Yakult Swallows     CL
115       Ishiyama Taichi  44   3  2  20    4   0    0  186   44.2   42   2   58  11    2   1   2  10  10   2.01   2.16   2.27  1.19  206   47     61  -0.15   1.1%   31.2%   5.9%   25.3%     Yakult Swallows     CL
116         Kanakubo Yuto   3   0  0   0    0   0    0   44   10.0   10   0   10   5    0   0   0   6   6   5.40   2.86   3.66  1.50   77   62     98   2.54   0.0%   22.7%  11.4%   11.3%     Yakult Swallows     CL
117          Kazahari Ren  11   0  0   0    0   0    0   75   14.2   22   2   11   9    0   1   2  13  13   7.98   5.68   4.53  2.11   52  124    122   2.30   2.7%   14.7%  12.0%    2.7%     Yakult Swallows     CL
118             Koch Matt   7   0  3   0    0   0    0   82   16.0   29   2    6   3    0   1   0  19  14   7.88   4.99   4.43  2.00   53  109    119   2.89   2.4%    7.3%   3.7%    3.6%     Yakult Swallows     CL
119         Kondoh Kazuki  20   0  1   1    2   0    0   81   19.0   21   4   11   6    0   0   0  13  10   4.74   5.89   4.18  1.42   87  129    112  -1.15   4.9%   13.6%   7.4%    6.2%     Yakult Swallows     CL
120           Konno Ryuta  20   0  1   0    0   0    0  113   25.1   23   1   36  13    2   0   4  10   8   2.84   2.57   2.76  1.42  146   56     74   0.27   0.9%   31.9%  11.5%   20.4%     Yakult Swallows     CL
121           Kubo Takuma  10   0  1   0    0   0    0   61   13.2   15   1   15   5    0   1   0   9   9   5.93   3.44   3.16  1.46   70   75     85   2.49   1.6%   24.6%   8.2%   16.4%     Yakult Swallows     CL
