Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Hayakawa Takahisa,11,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,66.7%,66.7%,0.0%,0.00,26,1,L,Rakuten Eagles,PL
,Horiuchi Kengo,40,110,99,12,31,3,1,1,39,10,0,0,2,0,27,9,0,0,2,0.313,0.370,0.394,0.764,149,0.081,0.423,33.6%,24.5%,8.2%,0.33,28,2,L,Rakuten Eagles,PL
,Howard Spencer,6,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,66.7%,66.7%,0.0%,0.00,28,1,R,Rakuten Eagles,PL
,Irie Daiki,4,10,10,0,1,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0.100,0.100,0.100,0.200,-39,0.000,0.143,30.0%,30.0%,0.0%,0.00,23,6,R,Rakuten Eagles,PL
,Ishihara Tsuyoshi,21,22,18,1,2,0,0,0,2,1,0,0,3,0,7,1,0,0,0,0.111,0.158,0.111,0.269,-15,0.000,0.182,36.4%,31.8%,4.5%,0.14,26,2,R,Rakuten Eagles,PL
,Itoh Yukiya,46,120,108,7,24,8,1,1,37,7,2,0,1,1,30,9,1,1,1,0.222,0.286,0.343,0.629,103,0.121,0.295,33.3%,25.0%,7.5%,0.30,28,UTL,R,Rakuten Eagles,PL
,Kishi Takayuki,11,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,33.3%,33.3%,0.0%,0.00,40,1,R,Rakuten Eagles,PL
,Kobukata Hiroto,83,303,257,25,61,5,1,1,71,12,25,5,11,0,53,34,0,1,1,0.237,0.329,0.276,0.605,97,0.039,0.296,29.0%,17.5%,11.2%,0.64,29,4,L,Rakuten Eagles,PL
,Komori Kohtaro,30,79,75,8,15,1,0,1,19,3,5,0,0,1,20,2,0,1,1,0.200,0.228,0.253,0.481,54,0.053,0.255,29.1%,25.3%,2.5%,0.10,22,7,R,Rakuten Eagles,PL
,Kurokawa Fumiya,27,100,90,11,27,3,1,1,35,10,1,0,1,1,17,7,0,1,1,0.300,0.354,0.389,0.743,141,0.089,0.356,25.0%,17.0%,7.0%,0.41,24,4,L,Rakuten Eagles,PL
,Matsui Tomotaka,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,25,1,R,Rakuten Eagles,PL
,Muneyama Rui,76,304,289,14,72,14,3,2,98,20,4,0,0,5,52,9,2,1,5,0.249,0.270,0.339,0.609,96,0.090,0.292,20.7%,17.1%,3.0%,0.17,22,6,L,Rakuten Eagles,PL
,Murabayashi Itsuki,82,325,306,20,96,7,0,3,112,31,4,2,2,2,59,13,2,2,6,0.314,0.344,0.366,0.710,131,0.052,0.378,23.1%,18.2%,4.0%,0.22,27,5,R,Rakuten Eagles,PL
,Mutoh Atsuki,27,46,37,8,5,0,1,0,7,3,2,0,1,1,10,7,0,0,0,0.135,0.267,0.189,0.456,48,0.054,0.179,37.0%,21.7%,15.2%,0.70,24,8,L,Rakuten Eagles,PL
,Nakashima Daisuke,69,234,224,24,60,4,5,2,80,15,12,2,2,0,32,6,0,2,2,0.268,0.293,0.357,0.650,110,0.089,0.305,17.1%,13.7%,2.6%,0.19,24,9,L,Rakuten Eagles,PL
,Ogoh Yuya,61,143,131,11,24,5,2,1,36,9,8,0,0,2,39,10,1,0,0,0.183,0.238,0.275,0.513,65,0.092,0.247,35.0%,27.3%,7.0%,0.26,28,9,L,Rakuten Eagles,PL
,Ohta Hikaru,63,146,121,8,19,4,2,0,27,7,0,0,8,1,29,14,0,2,6,0.157,0.254,0.223,0.477,54,0.066,0.204,29.5%,19.9%,9.6%,0.48,28,2,R,Rakuten Eagles,PL
,Ohuchi Seiya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,19,1,R,Rakuten Eagles,PL
,Shimauchi Hiroaki,5,11,10,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.000,0.091,0.000,0.091,-74,0.000,0.000,36.4%,27.3%,9.1%,0.33,35,DH,L,Rakuten Eagles,PL
,Suzuki Daichi,59,120,108,9,27,2,1,1,34,11,1,0,0,0,17,4,0,8,2,0.250,0.325,0.315,0.640,108,0.065,0.289,18.3%,14.2%,3.3%,0.24,35,3,L,Rakuten Eagles,PL
,Takinaka Ryota,11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,1.000,0.000,1.000,247,0.000,,100.0%,0.0%,100.0%,1.00,30,1,R,Rakuten Eagles,PL
,Tanaka Kazuki,15,16,16,4,1,0,0,0,1,1,1,0,0,0,8,0,0,0,0,0.063,0.063,0.063,0.126,-64,0.000,0.125,50.0%,50.0%,0.0%,0.00,30,8,S,Rakuten Eagles,PL
,Tanaka Takaya,11,4,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0.000,0.333,0.000,0.333,12,0.000,,75.0%,50.0%,25.0%,0.50,32,2,L,Rakuten Eagles,PL
,Tatsumi Ryosuke,72,271,243,20,60,9,2,4,85,21,14,0,0,3,62,18,0,7,7,0.247,0.314,0.350,0.664,115,0.103,0.311,31.0%,22.9%,6.6%,0.29,28,8,L,Rakuten Eagles,PL
,Uchi Seiryu,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,23,1,L,Rakuten Eagles,PL
,Voit Luke,15,60,54,5,11,1,0,2,18,7,0,0,0,0,14,4,0,2,0,0.204,0.283,0.333,0.616,99,0.129,0.237,33.3%,23.3%,6.7%,0.29,34,DH,R,Rakuten Eagles,PL
,Watanabe Yoshiaki,55,134,119,7,36,4,0,0,40,14,0,0,1,4,13,10,0,0,2,0.303,0.346,0.336,0.682,122,0.033,0.327,17.2%,9.7%,7.5%,0.77,28,UTL,L,Rakuten Eagles,PL
,Yajure Miguel,9,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,,100.0%,100.0%,0.0%,0.00,27,1,S,Rakuten Eagles,PL
,Cedeno Leandro,44,127,118,5,22,3,0,2,31,8,0,0,0,1,27,8,0,0,4,0.186,0.236,0.263,0.499,57,0.077,0.222,29.1%,21.3%,6.3%,0.30,26,DH,R,Seibu Lions,PL
,Davis JD,3,11,11,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0.182,0.182,0.182,0.364,15,0.000,0.222,18.2%,18.2%,0.0%,0.00,32,,R,Seibu Lions,PL
,Genda Sosuke,67,246,215,16,48,9,2,0,61,13,6,2,8,1,38,20,0,2,3,0.223,0.294,0.284,0.578,83,0.061,0.270,23.6%,15.4%,8.1%,0.53,32,6,L,Seibu Lions,PL
,Hasegawa Shinya,86,323,289,33,63,12,3,6,99,29,5,2,4,4,40,23,1,3,6,0.218,0.279,0.343,0.622,95,0.125,0.231,21.4%,12.4%,7.1%,0.57,23,9,R,Seibu Lions,PL
,Higuma Montell,4,7,7,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0.143,0.143,0.143,0.286,-10,0.000,0.333,57.1%,57.1%,0.0%,0.00,25,9,R,Seibu Lions,PL
