Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Tanaka Shunta,31,5,16.0,0.5,40.2,0.9,,0.0,-0.4,-0.1,,,Oisix Albirex,EL
Tanaka Shunta,31,6,9.0,0.7,100.1,0.4,,0.1,0.2,0.1,,,Oisix Albirex,EL
Tanaka Shunta,31,DH,10.0,,,,,,,-0.1,,,Oisix Albirex,EL
Nagasawa Renji,27,3,21.0,-0.9,-55.2,-0.4,,0.0,-0.5,-0.2,,,Oisix Albirex,EL
Nagasawa Renji,27,4,165.0,-6.6,-51.5,-6.6,,-0.1,0.1,0.4,,,Oisix Albirex,EL
Nagasawa Renji,27,5,90.0,0.3,4.3,0.3,,0.3,-0.2,-0.3,,,Oisix Albirex,EL
Nagasawa Renji,27,6,54.0,-1.5,-35.8,-0.3,,0.2,-1.5,0.4,,,Oisix Albirex,EL
Yamagata Shu,23,4,35.0,0.5,18.4,0.3,,0.0,0.2,0.1,,,Nipponham Fighters,EL
Yamagata Shu,23,5,2.0,-0.2,-128.7,-0.2,,0.0,0.0,0.0,,,Nipponham Fighters,EL
Yamagata Shu,23,6,89.1,1.1,15.9,0.6,,0.0,0.5,0.7,,,Nipponham Fighters,EL
Nishimaki Kenji,26,4,285.1,-5.3,-23.9,-0.5,,-0.8,-4.0,0.8,,,DeNA BayStars,EL
Nishimaki Kenji,26,5,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,DeNA BayStars,EL
Nishimaki Kenji,26,7,35.1,-4.0,-145.8,-4.5,0.5,,0.0,-0.3,,,DeNA BayStars,EL
Nishimaki Kenji,26,DH,14.0,,,,,,,-0.2,,,DeNA BayStars,EL
Tanimura Tsuyoshi,18,5,126.1,-0.9,-9.2,-1.1,,0.0,0.2,-0.5,,,Lotte Marines,EL
Tanimura Tsuyoshi,18,DH,19.0,,,,,,,-0.2,,,Lotte Marines,EL
Tatsumi Konosuke,24,4,138.0,0.6,5.6,1.0,,-0.2,-0.1,0.4,,,Rakuten Eagles,EL
Tatsumi Konosuke,24,5,100.1,1.6,20.5,0.8,,-0.1,0.8,-0.4,,,Rakuten Eagles,EL
Tatsumi Konosuke,24,7,58.0,-1.3,-28.8,-0.4,-0.9,,0.1,-0.6,,,Rakuten Eagles,EL
Tatsumi Konosuke,24,8,29.2,3.3,143.0,0.8,2.4,,0.0,0.1,,,Rakuten Eagles,EL
Tatsumi Konosuke,24,9,36.0,-0.3,-10.7,0.2,-0.5,,0.0,-0.1,,,Rakuten Eagles,EL
Tatsumi Konosuke,24,DH,5.0,,,,,,,-0.1,,,Rakuten Eagles,EL
Akihiro Yuto,22,3,132.0,2.4,23.4,1.7,,0.2,0.4,-1.5,,,Yomiuri Giants,EL
Akihiro Yuto,22,7,12.0,0.3,32.2,0.0,0.3,,0.0,-0.1,,,Yomiuri Giants,EL
Akihiro Yuto,22,DH,18.0,,,,,,,-0.2,,,Yomiuri Giants,EL
Toyoda Hiroshi,28,7,81.0,-1.0,-15.9,-0.7,-0.4,,0.1,-0.8,,,Hanshin Tigers,WL
Toyoda Hiroshi,28,9,70.0,-5.3,-97.4,-2.4,-2.1,,-0.8,-0.3,,,Hanshin Tigers,WL
Toyoda Hiroshi,28,DH,39.0,,,,,,,-0.5,,,Hanshin Tigers,WL
Nakamura Takahiro,25,7,96.0,-1.2,-16.1,-2.2,0.9,,0.1,-0.9,,,Hiroshima Carp,WL
Nakamura Takahiro,25,8,183.2,-6.4,-44.8,-6.2,-0.3,,0.1,0.6,,,Hiroshima Carp,WL
Nakamura Takahiro,25,9,228.1,-5.1,-28.8,-3.5,-0.9,,-0.7,-0.9,,,Hiroshima Carp,WL
Nakamura Takahiro,25,DH,38.0,,,,,,,-0.5,,,Hiroshima Carp,WL
Kishi Junichiro,28,3,18.0,-0.9,-64.4,-0.2,,0.0,-0.7,-0.2,,,Seibu Lions,EL
Kishi Junichiro,28,7,21.0,-0.5,-30.6,-1.2,0.7,,0.0,-0.2,,,Seibu Lions,EL
Kishi Junichiro,28,8,16.0,0.1,8.0,0.3,-0.3,,0.0,0.1,,,Seibu Lions,EL
Kishi Junichiro,28,9,89.2,1.9,27.3,1.7,0.0,,0.1,-0.4,,,Seibu Lions,EL
