#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Yamaguchi Sho,9,1,3,0,0,0,0,117,26.0,25,3,21,13,1,3,2,14,14,4.85,5.10,4.12,1.46,79,119,112,-0.25,2.6%,17.9%,11.1%,6.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,20,R,CL
,Yasaki Takuya,5,0,0,0,0,0,0,40,8.0,10,2,11,6,0,0,0,5,5,5.63,6.12,3.55,2.00,68,143,96,-0.49,5.0%,27.5%,15.0%,12.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,CL
,Akama Ken,7,0,0,0,0,0,0,39,9.2,7,2,5,3,0,0,1,6,6,5.59,5.95,4.29,1.03,71,134,116,-0.36,5.1%,12.8%,7.7%,5.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,R,CL
,Azuma Katsuki,7,4,2,0,0,0,0,161,38.1,38,4,31,10,1,1,1,17,16,3.76,3.97,3.50,1.25,106,90,95,-0.21,2.5%,19.3%,6.2%,13.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,23,L,CL
,Barrios Edison,3,1,2,0,0,0,0,66,14.2,12,0,11,10,1,2,0,8,7,4.30,4.32,4.65,1.50,93,98,126,-0.02,0.0%,16.7%,15.2%,1.5%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,R,CL
,Escobar Edwin,74,5,4,0,33,0,0,306,75.1,60,7,88,24,2,2,1,23,21,2.51,3.28,2.71,1.12,159,74,73,-0.77,2.3%,28.8%,7.8%,20.9%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,L,CL
,Fujioka Yoshiaki,32,1,0,0,1,0,0,126,29.0,27,2,23,15,3,0,2,6,6,1.86,4.23,4.17,1.45,214,95,113,-2.37,1.6%,18.3%,11.9%,6.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,34,R,CL
,Hamaguchi Haruhiro,17,6,5,0,1,2,2,341,82.1,59,8,85,38,1,3,1,33,29,3.17,4.06,3.42,1.18,126,92,93,-0.89,2.3%,24.9%,11.1%,13.8%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,L,CL
,Hamaya Kodai,2,0,1,0,0,0,0,13,1.2,3,0,0,5,1,0,0,6,6,32.40,12.37,8.65,4.80,12,279,234,20.03,0.0%,0.0%,38.5%,-38.5%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,L,CL
,Hirata Shingo,8,0,0,0,1,0,0,48,9.2,15,2,11,4,1,2,0,11,10,9.31,5.64,3.34,1.97,43,127,91,3.67,4.2%,22.9%,8.3%,14.6%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,29,R,CL
,Iizuka Satoshi,5,0,1,0,0,0,0,52,11.1,17,4,9,3,0,1,0,14,14,11.12,7.43,3.65,1.76,36,168,99,3.69,7.7%,17.3%,5.8%,11.5%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,22,R,CL
,Imanaga Shota,25,13,7,0,0,3,3,684,170.0,128,18,186,56,8,4,2,59,55,2.91,3.62,2.90,1.08,137,82,79,-0.71,2.6%,27.2%,8.2%,19.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,25,L,CL
,Ino Shoichi,15,4,5,0,0,0,0,309,70.0,74,5,50,28,3,3,3,43,37,4.76,4.20,4.09,1.46,84,95,111,0.56,1.6%,16.2%,9.1%,7.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,33,R,CL
,Ishida Kenta,40,4,1,0,10,0,0,285,71.1,59,7,78,21,4,0,2,19,17,2.14,3.34,2.80,1.12,186,75,76,-1.20,2.5%,27.4%,7.4%,20.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,L,CL
