Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Abe Toshiki,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,33.3%,50.0%,55.6%,33.3%,50.0%,36,,R,Chunichi Dragons,CL
Calixte Orlando,3,11,10,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0.100,0.182,0.100,0.282,-16,0.000,0.125,18.2%,9.1%,0.50,-0.0,0.0%,38.9%,75.0%,57.6%,21.2%,27.3%,34,9,R,Chunichi Dragons,CL
Fukunaga Hiroki,3,13,13,1,4,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0.308,0.308,0.308,0.616,86,0.000,0.364,15.4%,0.0%,0.00,0.2,18.2%,38.1%,92.3%,48.8%,7.0%,15.4%,29,5,R,Chunichi Dragons,CL
Higuchi Seishu,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.2,0.0%,50.0%,100.0%,60.0%,0.0%,0.0%,27,7,L,Chunichi Dragons,CL
Hosokawa Seiya,3,12,12,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0.333,0.333,0.333,0.666,102,0.000,0.444,25.0%,0.0%,0.00,-0.0,11.1%,34.8%,75.0%,52.2%,8.7%,25.0%,27,7,R,Chunichi Dragons,CL
Ishii Yuta,3,12,12,1,5,2,0,0,7,2,0,0,0,0,2,0,0,0,0,0.417,0.417,0.583,1.000,202,0.166,0.500,16.7%,0.0%,0.00,-0.0,0.0%,36.8%,88.9%,54.3%,8.7%,16.7%,25,2,R,Chunichi Dragons,CL
Ishikawa Takaya,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,234,0.000,,0.0%,100.0%,1.00,-0.0,,20.0%,,20.0%,0.0%,100.0%,25,3,R,Chunichi Dragons,CL
Itayama Yutaro,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,60.0%,66.7%,66.7%,22.2%,100.0%,32,9,L,Chunichi Dragons,CL
Kinoshita Takuya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,100.0%,,33.3%,33.3%,100.0%,34,,R,Chunichi Dragons,CL
Muramatsu Kaito,3,11,9,2,2,0,1,0,4,1,0,0,1,0,4,1,0,0,0,0.222,0.300,0.444,0.744,123,0.222,0.400,36.4%,9.1%,0.25,-0.0,0.0%,34.6%,87.5%,50.0%,12.0%,45.5%,25,6,L,Chunichi Dragons,CL
Oda Gouki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,40.0%,66.7%,62.5%,12.5%,0.0%,25,9,L,Chunichi Dragons,CL
Okabayashi Yuki,3,13,13,1,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0.385,0.385,0.385,0.770,135,0.000,0.385,0.0%,0.0%,,0.2,7.7%,45.8%,100.0%,50.9%,0.0%,0.0%,24,8,L,Chunichi Dragons,CL
Sakurai Yorinosuke,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,66.7%,0.0%,42.9%,42.9%,100.0%,22,1,R,Chunichi Dragons,CL
Sano Miguel,3,12,11,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.000,0.083,0.000,0.083,-79,0.000,0.000,41.7%,8.3%,0.20,-0.0,16.7%,25.0%,86.7%,43.8%,12.5%,50.0%,33,3,R,Chunichi Dragons,CL
Takahashi Hiroto,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,66.7%,100.0%,57.1%,0.0%,0.0%,23,1,R,Chunichi Dragons,CL
Tanaka Mikiya,3,12,11,0,3,0,0,0,3,1,0,0,0,0,3,0,0,1,0,0.273,0.333,0.273,0.606,85,0.000,0.375,25.0%,0.0%,0.00,-0.0,12.5%,31.6%,100.0%,38.1%,2.4%,25.0%,25,4,R,Chunichi Dragons,CL
Tsujimoto Rintaro,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,,50.0%,0.0%,0.0%,24,4,R,Chunichi Dragons,CL
Yanagi Yuya,1,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.500,0.500,0.500,1.000,207,0.000,1.000,33.3%,0.0%,0.00,-0.0,50.0%,20.0%,100.0%,45.5%,9.1%,33.3%,32,1,R,Chunichi Dragons,CL
Hirooka Taishi,3,13,12,1,4,0,0,0,4,1,0,0,0,0,6,1,0,0,0,0.333,0.385,0.333,0.718,114,0.000,0.667,46.2%,7.7%,0.17,-0.0,16.7%,30.0%,80.0%,44.4%,18.5%,53.8%,29,9,R,ORIX Buffaloes,PL
Kurebayashi Kotaro,3,9,9,2,3,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0.333,0.333,0.667,1.000,188,0.334,0.286,11.1%,0.0%,0.00,-0.0,12.5%,38.5%,88.9%,51.9%,11.1%,22.2%,24,6,R,ORIX Buffaloes,PL
Mori Tomoya,3,12,11,1,2,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0.182,0.250,0.273,0.523,54,0.091,0.222,16.7%,8.3%,0.50,-0.0,44.4%,26.9%,72.7%,41.9%,11.6%,25.0%,30,DH,L,ORIX Buffaloes,PL
Mugitani Yusuke,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,100.0%,0.0%,0.0%,23,9,L,ORIX Buffaloes,PL
Mune Yuma,3,14,9,1,2,0,0,0,2,1,1,0,0,0,3,3,0,2,0,0.222,0.500,0.222,0.722,121,0.000,0.333,21.4%,21.4%,1.00,0.2,0.0%,26.5%,88.2%,41.9%,11.3%,42.9%,30,5,L,ORIX Buffaloes,PL
Nakagawa Keita,3,11,10,2,4,1,0,1,8,5,1,1,0,0,1,1,0,0,0,0.400,0.455,0.800,1.255,263,0.400,0.375,9.1%,9.1%,1.00,-0.2,44.4%,33.3%,77.8%,43.8%,12.5%,27.3%,30,8,R,ORIX Buffaloes,PL
Nishikawa Ryoma,3,12,11,1,5,2,0,0,7,1,0,0,1,0,1,0,0,0,1,0.455,0.455,0.636,1.091,219,0.181,0.500,8.3%,0.0%,0.00,-0.0,18.2%,40.0%,85.7%,56.4%,15.4%,8.3%,31,7,L,ORIX Buffaloes,PL
Nishino Masahiro,2,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-20,0.000,0.000,50.0%,25.0%,0.50,-0.0,0.0%,22.2%,100.0%,18.8%,12.5%,75.0%,35,4,L,ORIX Buffaloes,PL
Noguchi Tomoya,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,766,1.000,1.000,0.0%,0.0%,,0.0,0.0%,100.0%,,50.0%,0.0%,0.0%,26,6,L,ORIX Buffaloes,PL
Ohshiro Koji,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,50.0%,100.0%,50.0%,0.0%,33,4,R,ORIX Buffaloes,PL
Ohta Ryo,3,13,8,2,3,1,0,0,4,0,0,0,0,0,2,5,0,0,1,0.375,0.615,0.500,1.115,234,0.125,0.500,15.4%,38.5%,2.50,-0.0,16.7%,14.3%,73.3%,34.5%,12.1%,53.8%,25,4,R,ORIX Buffaloes,PL
Seymour Bob,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.167,25.0%,0.0%,0.00,-0.0,0.0%,53.3%,88.9%,60.7%,10.7%,25.0%,27,3,L,ORIX Buffaloes,PL
Wakatsuki Kenya,3,12,10,0,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0.100,0.182,0.100,0.282,-15,0.000,0.167,33.3%,8.3%,0.25,-0.0,0.0%,41.7%,87.5%,40.9%,20.5%,41.7%,30,2,R,ORIX Buffaloes,PL
Watanabe Haruto,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,766,1.000,1.000,0.0%,0.0%,,0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,26,7,L,ORIX Buffaloes,PL
Fujiwara Kyota,3,13,12,2,4,0,0,0,4,3,0,0,0,1,1,0,0,0,1,0.333,0.308,0.333,0.641,86,0.000,0.333,7.7%,0.0%,0.00,-0.0,16.7%,36.4%,88.9%,51.0%,11.8%,7.7%,26,9,L,Lotte Marines,PL
Ikeda Raito,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,20.0%,57.1%,100.0%,70.6%,0.0%,0.0%,26,4,R,Lotte Marines,PL
Matsukawa Kou,3,8,8,1,3,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0.375,0.375,0.500,0.875,151,0.125,0.429,12.5%,0.0%,0.00,-0.0,0.0%,21.4%,100.0%,43.3%,3.3%,12.5%,22,2,R,Lotte Marines,PL
