                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
289          Inoue Hiroki   4   0   0   0    0   0    0   28    4.1    9   1    5   6    0   0   0   5   5  10.38   8.00   5.16  3.46   35  201    141    2.38   3.6%   17.9%   21.4%    -3.6%  64.7%  23.3%  68.6%  11.2%  28.6%     90.6         Seibu Lions            PL
290              Itoh Sho  13   0   1   0    2   0    0   91   18.0   22   2    9  16    0   2   2   9   8   4.00   6.60   5.57  2.11   90  166    153   -2.60   2.2%    9.9%   17.6%    -7.7%  37.5%  13.8%  82.7%   6.5%  24.7%     89.0         Seibu Lions            PL
291       Kumon Katsuhiko  14   0   0   0    3   0    0   43   11.1    8   0    8   3    0   0   0   1   1   0.79   2.54   3.64  0.97  458   64    100   -1.75   0.0%   18.6%    7.0%    11.6%  46.9%  18.3%  84.0%   7.8%  26.1%     89.8         Seibu Lions            PL
292       Masuda Tatsushi  33   0   3   8    9   0    0  131   30.2   32   4   23   7    1   1   1  17  17   4.99   4.13   3.58  1.27   72  104     98    0.86   3.1%   17.6%    5.3%    12.2%  38.8%  23.4%  83.2%   8.9%  23.3%     91.8         Seibu Lions  33  R     PL
293      Matsumoto Wataru  28  10   8   0    0   1    1  638  149.2  137  15  130  64    0   4   4  63  63   3.79   4.08   3.77  1.34   95  103    103   -0.29   2.4%   20.4%   10.0%    10.3%  38.4%  23.0%  79.7%   8.9%  27.0%     89.7         Seibu Lions  24  R     PL
294        Matsuoka Kouki   5   0   0   0    0   0    0   22    4.0    5   0    1   5    0   1   0   5   5  11.25   7.15   6.62  2.50   32  180    182    4.10   0.0%    4.5%   22.7%   -18.2%  80.0%  18.0%  82.8%   6.1%  19.5%     90.0         Seibu Lions            PL
295     Matsuzaka Daisuke   1   0   0   0    0   0    0    1    0.0    0   0    0   1    0   0   0   0   0   0.00         14.80        999         406    -inf   0.0%    0.0%  100.0%  -100.0%   0.0%   0.0%   nan%   0.0%  20.0%     72.7         Seibu Lions            PL
296        Miyagawa Tetsu  29   1   2   0    6   0    0  117   24.2   23   4   30  18    0   3   5  18  18   6.57   5.38   3.77  1.66   55  135    104    1.19   3.4%   25.6%   15.4%    10.3%  48.5%  29.5%  69.2%  14.1%  28.4%     92.0         Seibu Lions            PL
297    Mizukami Yoshinobu  29   0   1   0    4   0    0  114   27.0   19   1   22  16    0   1   0   7   7   2.33   3.89   4.27  1.30  155   98    117   -1.56   0.9%   19.3%   14.0%     5.3%  45.3%  21.0%  80.2%   8.8%  23.4%     90.9         Seibu Lions            PL
298      Moriwaki Ryosuke  45   3   1   1   13   0    0  184   40.1   42   3   29  22    1   2   3  18  18   4.02   4.47   4.42  1.59   90  112    121   -0.45   1.6%   15.8%   12.0%     3.8%  53.9%  25.6%  76.6%   9.9%  28.5%     90.1         Seibu Lions  28  R     PL
299             Neal Zach  11   1   6   0    0   0    0  262   60.0   76   3   26  15    0   3   3  41  39   5.85   3.84   4.38  1.52   62   96    120    2.01   1.1%    9.9%    5.7%     4.2%  55.0%  26.4%  85.1%   6.7%  26.6%     88.5         Seibu Lions  32  R     PL
300           Ogawa Ryuya   5   0   0   0    0   0    0   11    2.0    2   1    1   3    0   0   0   2   2   9.00  13.15   6.62  2.50   40  331    182   -4.15   9.1%    9.1%   27.3%   -18.2%  28.6%  13.6%  91.7%   2.6%  21.1%     81.5         Seibu Lions  29  L     PL
301           Omagari Ren   4   0   0   0    1   0    0   13    4.0    1   0    2   2    0   0   0   0   0   0.00   3.65   4.80  0.75  999   92    132   -3.65   0.0%   15.4%   15.4%     0.0%  44.4%  35.5%  84.4%   8.2%  23.0%     92.3         Seibu Lions            PL
302            Sano Yasuo  23   0   0   0    2   0    0   84   18.1   22   1    7   8    1   2   1  10  10   4.91   4.73   4.92  1.64   74  119    135    0.18   1.2%    8.3%    9.5%    -1.2%  50.0%  17.0%  90.2%   4.0%  22.8%     88.2         Seibu Lions  28  L     PL
303         Sasaki Takeru   5   0   0   0    0   0    0   46    8.2   13   1    4   8    0   1   0   9   8   8.31   6.85   5.67  2.42   44  172    155    1.46   2.2%    8.7%   17.4%    -8.7%  48.5%  17.3%  83.3%   6.4%  20.3%     88.9         Seibu Lions            PL
304           Taira Kaima  62   3   4  20   21   0    0  247   60.0   36   0   70  28    2   5   3   6   6   0.90   2.47   3.10  1.07  402   62     85   -1.57   0.0%   28.3%   11.3%    17.0%  55.1%  30.0%  69.7%  14.3%  30.7%     95.0         Seibu Lions  21  R     PL
305        Takahashi Kona  27  11   9   0    0   0    0  728  173.2  157  23  127  62    0   6  13  81  73   3.78   4.59   3.91  1.26   96  115    107   -0.81   3.2%   17.4%    8.5%     8.9%  50.7%  26.9%  79.8%   8.7%  26.6%     91.0         Seibu Lions  24  R     PL
306        Takekuma Shota  46   0   2   0    9   0    0  120   30.2   17   2   25  14    1   0   0   7   6   1.76   3.74   3.88  1.01  205   94    107   -1.98   1.7%   20.8%   11.7%     9.2%  50.0%  22.8%  77.6%   9.7%  27.0%     85.5         Seibu Lions  31  L     PL
307         Tamura Ichiro  22   1   0   1    0   0    0  130   31.0   17   2   20  16    2   4   0  10  10   2.90   4.64   4.49  1.06  125  117    123   -1.74   1.5%   15.4%   12.3%     3.1%  49.4%  20.4%  79.9%   8.7%  25.0%     91.3         Seibu Lions  26  R     PL
308            Togame Ken  40   1   1   0    8   0    0  176   40.0   41   1   26  19    0   2   0  18  15   3.38   3.75   4.40  1.50  107   94    121   -0.37   0.6%   14.8%   10.8%     4.0%  50.8%  17.3%  82.1%   7.5%  24.9%     88.6         Seibu Lions  33  R     PL
309             Uema Towa   5   1   1   0    0   0    0   94   21.1   26   3   10   9    0   0   1  15  15   6.33   5.31   4.69  1.64   57  134    129    1.02   3.2%   10.6%    9.6%     1.1%  54.1%  17.9%  86.1%   5.5%  22.5%     88.1         Seibu Lions            PL
310        Utsumi Tetsuya   2   1   0   0    0   0    0   36    7.0   11   2    3   5    0   0   1   6   6   7.71   8.15   5.36  2.29   47  205    147   -0.44   5.6%    8.3%   13.9%    -5.6%  42.9%  22.9%  86.2%   6.3%  23.2%     86.5         Seibu Lions  39  L     PL
311       Watanabe Yutaro  17   4   4   0    2   0    0  232   55.0   43   3   33  30    0   3   4  24  21   3.44   4.46   4.67  1.33  105  112    128   -1.02   1.3%   14.2%   12.9%     1.3%  53.9%  21.8%  83.2%   6.9%  24.4%     90.8         Seibu Lions  20  R     PL
312      Yoshikawa Mitsuo   5   0   0   0    0   0    0   26    4.1    8   1    0   6    0   0   0   8   8  16.62  10.31   7.11  3.23   22  259    195    6.31   3.8%    0.0%   23.1%   -23.1%  45.0%  13.8%  88.9%   3.8%  21.0%     88.2         Seibu Lions            PL
313            Yoza Kaito  15   1   1   0    1   0    0  157   38.2   31   3   28  10    0   4   0  12  12   2.79   3.80   3.65  1.06  130   96    100   -1.01   1.9%   17.8%    6.4%    11.5%  36.8%  21.6%  81.6%   8.5%  26.7%     79.6         Seibu Lions  25  R     PL
314          Akiyoshi Ryo  10   0   0   0    0   0    0   42   10.0    7   0    8   4    1   0   0   3   3   2.70   2.75   3.85  1.10  129   72    106   -0.05   0.0%   19.0%    9.5%     9.5%  36.7%  20.8%  79.7%   8.7%  30.2%     88.1  Nipponham Fighters  32  R     PL
315          Erlin Robbie  11   2   3   0    0   0    0  161   38.0   40   3   33  11    0   2   0  15  14   3.32   3.47   3.43  1.34  105   90     94   -0.15   1.9%   20.5%    6.8%    13.7%  58.3%  23.5%  79.2%   8.8%  26.9%     86.7  Nipponham Fighters            PL
316         Fukuda Suguru   5   0   0   0    0   0    0   25    4.2    9   1    3   1    0   0   1   8   6  11.57   5.30   4.00  2.14   30  138    110    6.27   4.0%   12.0%    4.0%     8.0%  38.1%  15.7%  76.7%   9.2%  27.5%     87.4  Nipponham Fighters  24  L     PL
317        Hasegawa Ryota   5   0   0   0    2   0    0   16    3.2    2   0    1   3    0   0   0   3   3   7.36   5.06   6.05  1.36   47  132    166    2.30   0.0%    6.2%   18.8%   -12.5%  50.0%  19.1%  86.2%   5.0%  21.2%     91.5  Nipponham Fighters  25  R     PL
318           Hori Mizuki  60   3   2   0   39   0    0  229   53.1   36   3   56  30    1   4   3  14  14   2.36   3.70   3.66  1.24  148   96    101   -1.34   1.3%   24.5%   13.1%    11.4%  35.3%  17.2%  77.8%   8.9%  28.8%     88.8  Nipponham Fighters  23  L     PL
319       Iguchi Kazutomo  43   1   2   0   11   0    0  151   38.2   24   4   33  10    0   2   0  11   8   1.86   3.72   3.28  0.88  188   97     90   -1.86   2.6%   21.9%    6.6%    15.2%  39.6%  22.8%  79.9%   9.4%  26.8%     91.9  Nipponham Fighters  27  R     PL
320        Ikeda Takahide  18   3  10   0    1   0    0  364   82.1   88  11   52  35    0   5   4  42  36   3.94   5.08   4.33  1.49   89  132    119   -1.14   3.0%   14.3%    9.6%     4.7%  48.5%  21.2%  83.0%   7.2%  25.5%     90.1  Nipponham Fighters            PL
321           Itoh Hiromi  23  10   9   0    0   1    1  610  146.0  125   8  141  53    1   6   1  51  47   2.90   3.15   3.36  1.22  120   82     92   -0.25   1.3%   23.1%    8.7%    14.4%  52.7%  23.7%  76.9%   9.9%  29.5%     90.9  Nipponham Fighters            PL
322        Kaneko Chihiro   8   0   4   0    0   0    0  149   33.1   42   4   22  13    1   3   3  23  23   6.21   4.83   4.20  1.65   56  126    115    1.38   2.7%   14.8%    8.7%     6.0%  46.3%  16.9%  85.1%   6.5%  23.7%     88.7  Nipponham Fighters  37  R     PL
323        Katoh Takayuki  25   6   7   0    0   1    1  595  150.0  136  13  102  21    1   3   2  61  57   3.42   3.40   3.44  1.05  102   89     94    0.02   2.2%   17.1%    3.5%    13.6%  47.8%  26.9%  83.2%   7.9%  28.7%     85.7  Nipponham Fighters  29  L     PL
324         Kawano Ryusei  40   3   6   0    9   0    0  376   90.1   74   7   68  31    2   4   4  35  30   2.99   3.82   3.82  1.16  117   99    105   -0.83   1.9%   18.1%    8.2%     9.8%  39.2%  24.1%  78.3%   9.7%  27.3%     89.1  Nipponham Fighters  23  L     PL
325         Kitaura Ryuji   3   0   0   0    0   0    0   23    5.1    5   1    4   2    0   0   0   2   2   3.38   5.22   3.93  1.31  103  136    108   -1.84   4.3%   17.4%    8.7%     8.7%  47.1%  20.0%  76.9%  10.1%  25.8%     86.5  Nipponham Fighters  21  L     PL
326       Kumon Katsuhiko  10   0   0   0    0   0    0   34    7.1   12   1    6   2    0   1   0   3   3   3.68   4.52   3.62  1.91   95  118     99   -0.84   2.9%   17.6%    5.9%    11.8%  52.0%  18.5%  84.8%   6.9%  24.8%     89.8  Nipponham Fighters  29  L     PL
327       Miyanishi Naoki  50   1   2   0   15   0    0  189   44.1   42   3   49  15    1   4   3  20  18   3.65   3.11   3.00  1.29   96   81     82    0.54   1.6%   25.9%    7.9%    18.0%  46.6%  23.6%  76.7%  10.1%  28.3%     86.8  Nipponham Fighters  36  L     PL
328       Mochizuki Daiki   2   0   0   0    0   0    0   16    4.0    2   0    1   3    0   0   0   1   1   2.25   4.90   6.05  1.25  155  128    166   -2.65   0.0%    6.2%   18.8%   -12.5%  75.0%  15.2%  90.0%   4.5%  16.7%     88.1  Nipponham Fighters  23  R     PL
329           Murata Toru   8   0   0   0    0   0    0   53    9.2   18   1    5   9    0   0   1  10  10   9.31   6.26   5.55  2.79   38  163    152    3.05   1.9%    9.4%   17.0%    -7.5%  38.5%  18.6%  84.1%   7.2%  21.5%     87.7  Nipponham Fighters  36  R     PL
330      Nabatame Tsubasa   1   1   0   0    0   0    0   22    6.0    1   0    5   3    0   1   0   1   1   1.50   3.49   3.89  0.67  233   91    107   -1.99   0.0%   22.7%   13.6%     9.1%  61.5%  25.5%  79.1%   9.7%  24.7%     92.5  Nipponham Fighters  26  R     PL
331    Nishimura Takahiro  27   0   0   0    1   0    0  139   31.0   33   2   32  12    2   3   0  16  12   3.48   3.38   3.36  1.45  100   88     92    0.10   1.4%   23.0%    8.6%    14.4%  30.1%  25.3%  75.8%  11.2%  27.4%     91.1  Nipponham Fighters  28  R     PL
332       Rodriguez Bryan  47   0   2   3   24   0    0  194   46.0   40   4   34  20    2   3   0  17  14   2.74   4.31   4.08  1.30  127  112    112   -1.57   2.1%   17.5%   10.3%     7.2%  60.6%  18.8%  78.3%   9.4%  27.2%     95.0  Nipponham Fighters  29  R     PL
333           Saitoh Yuki   1   0   0   0    0   0    0    1    0.0    0   0    0   1    0   0   0   0   0   0.00         14.80        999         406    -inf   0.0%    0.0%  100.0%  -100.0%   nan%   nan%   nan%   nan%   nan%      NaN  Nipponham Fighters  33  R     PL
334     Sugiura Toshihiro  56   3   3  28    1   0    0  221   54.2   34   9   69  24    3   1   4  18  18   2.96   4.14   2.76  1.06  118  108     76   -1.18   4.1%   31.2%   10.9%    20.4%  41.1%  26.6%  66.4%  15.1%  30.3%     92.0  Nipponham Fighters  29  R     PL
335          Suzuki Kenya  21   0   0   0    0   0    0   84   19.1   17   1   11   7    2   3   0  10   9   4.19   4.24   4.32  1.24   83  110    119   -0.05   1.2%   13.1%    8.3%     4.8%  36.8%  11.5%  82.4%   7.1%  28.2%     88.8  Nipponham Fighters  23  R     PL
336          Tamai Taisho  50   0   0   0    8   0    0  185   42.2   41   2   23  19    2   4   1  18  15   3.16   4.30   4.58  1.41  111  112    126   -1.14   1.1%   12.4%   10.3%     2.2%  49.3%  22.5%  84.8%   6.8%  24.6%     88.9  Nipponham Fighters  29  R     PL
337       Tanigawa Masaki   9   1   0   0    0   0    0   43   10.1    9   1    8   4    0   0   1   7   6   5.23   4.02   3.87  1.26   67  105    106    1.21   2.3%   18.6%    9.3%     9.3%  58.1%  26.4%  73.5%  12.3%  27.9%     88.9  Nipponham Fighters            PL
338        Tateno Kazuaki  11   4   3   0    0   0    0  224   55.0   39   3   47  23    0   3   1  16  15   2.45   3.57   3.73  1.13  143   93    102   -1.12   1.3%   21.0%   10.3%    10.7%  47.0%  25.4%  76.8%  10.1%  28.2%     89.7  Nipponham Fighters  23  R     PL
339          Uehara Kenta  11   0   0   0    0   0    0   47   11.1    8   0   11   6    1   0   0   5   5   3.97   2.80   3.74  1.24   88   73    102    1.17   0.0%   23.4%   12.8%    10.6%  44.0%  20.8%  75.6%  11.7%  26.9%     90.8  Nipponham Fighters  27  L     PL
340       Uwasawa Naoyuki  24  12   6   0    0   1    0  643  160.1  119   8  135  48    1   4   5  53  50   2.81   3.09   3.45  1.04  124   80     95   -0.28   1.2%   21.0%    7.5%    13.5%  47.2%  27.8%  78.8%  10.1%  27.6%     90.6  Nipponham Fighters  27  R     PL
341         VerHagen Drew  20   5   8   0    0   0    0  407   96.0   90   7  100  33    1   6   1  45  41   3.84   3.24   3.15  1.28   91   84     86    0.60   1.7%   24.6%    8.1%    16.5%  50.8%  25.6%  78.4%   9.6%  29.8%     94.0  Nipponham Fighters  30  R     PL
342         Yoshida Kosei   1   0   1   0    0   0    0   14    2.0    4   1    2   3    0   0   0   7   2   9.00  12.15   5.51  3.50   39  317    151   -3.15   7.1%   14.3%   21.4%    -7.1%  22.2%  11.1%  84.2%   4.7%  23.4%     89.6  Nipponham Fighters  20  R     PL
