PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
18,小園　健太,https://npb.jp/bis/players/31935155.html,2003.04.09,185,90,右,右,,DeNA BayStars
19,山﨑　康晃,https://npb.jp/bis/players/41845130.html,1992.10.02,179,88,右,右,,DeNA BayStars
20,坂本　裕哉,https://npb.jp/bis/players/11015151.html,1997.07.28,180,87,左,左,,DeNA BayStars
22,入江　大生,https://npb.jp/bis/players/61365153.html,1998.08.26,187,87,右,右,,DeNA BayStars
24,吉野　光樹,https://npb.jp/bis/players/33535157.html,1998.07.19,176,80,右,右,,DeNA BayStars
26,濵口　遥大,https://npb.jp/bis/players/51655134.html,1995.03.16,173,80,左,左,,DeNA BayStars
27,上茶谷　大河,https://npb.jp/bis/players/81585138.html,1996.08.31,182,83,右,右,,DeNA BayStars
30,三浦　銀二,https://npb.jp/bis/players/03105155.html,1999.12.30,175,80,右,右,,DeNA BayStars
34,松本　凌人,https://npb.jp/bis/players/23125159.html,2001.12.05,185,88,右,右,,DeNA BayStars
35,橋本　達弥,https://npb.jp/bis/players/31635157.html,2000.07.18,181,84,右,右,,DeNA BayStars
36,森下　瑠大,https://npb.jp/bis/players/63165157.html,2004.09.19,180,75,左,左,,DeNA BayStars
38,森　唯斗,https://npb.jp/bis/players/01405139.html,1992.01.08,175,91,右,右,,DeNA BayStars
40,松本　隆之介,https://npb.jp/bis/players/93195153.html,2002.07.31,188,94,左,左,,DeNA BayStars
41,佐々木　千隼,https://npb.jp/bis/players/71975134.html,1994.06.08,181,83,右,右,,DeNA BayStars
42,ジャクソン,https://npb.jp/bis/players/43745159.html,1996.05.01,190,95,右,右,,DeNA BayStars
43,深沢　鳳介,https://npb.jp/bis/players/61665155.html,2003.11.05,177,74,右,右,,DeNA BayStars
45,森原　康平,https://npb.jp/bis/players/93195134.html,1991.12.26,185,88,右,左,,DeNA BayStars
46,石川　達也,https://npb.jp/bis/players/61165153.html,1998.04.15,178,75,左,右,,DeNA BayStars
48,京山　将弥,https://npb.jp/bis/players/11715134.html,1998.07.04,182,77,右,右,,DeNA BayStars
49,ウェンデルケン,https://npb.jp/bis/players/13715157.html,1993.03.24,185,109,右,右,,DeNA BayStars
53,中川　颯,https://npb.jp/bis/players/21425153.html,1998.10.10,184,80,右,左,,DeNA BayStars
54,石田　裕太郎,https://npb.jp/bis/players/21125159.html,2002.01.22,180,74,右,右,,DeNA BayStars
56,髙田　琢登,https://npb.jp/bis/players/21225153.html,2002.09.18,178,80,左,左,,DeNA BayStars
59,平良　拳太郎,https://npb.jp/bis/players/01905139.html,1995.07.12,180,80,右,右,,DeNA BayStars
62,ウィック,https://npb.jp/bis/players/03505159.html,1992.11.09,190,106,右,左,,DeNA BayStars
64,中川　虎大,https://npb.jp/bis/players/21225136.html,1999.10.02,178,85,右,右,,DeNA BayStars
65,宮城　滝太,https://npb.jp/bis/players/51855138.html,2000.07.15,181,80,右,右,,DeNA BayStars
69,ケイ,https://npb.jp/bis/players/13715159.html,1995.03.21,183,102,左,左,,DeNA BayStars
92,堀岡　隼人,https://npb.jp/bis/players/71875134.html,1998.09.11,183,87,右,右,6/8 育成選手から支配下選手へ移行,DeNA BayStars
93,ディアス,https://npb.jp/bis/players/43545151.html,1999.06.10,191,93,左,左,6/8 育成選手から支配下選手へ移行,DeNA BayStars
5,松尾　汐恩,https://npb.jp/bis/players/21825157.html,2004.07.06,178,82,右,右,,DeNA BayStars
10,戸柱　恭孝,https://npb.jp/bis/players/41245132.html,1990.04.11,179,90,右,左,,DeNA BayStars
29,伊藤　光,https://npb.jp/bis/players/81185116.html,1989.04.23,180,88,右,右,,DeNA BayStars
32,益子　京右,https://npb.jp/bis/players/91695138.html,2000.12.27,176,86,右,右,,DeNA BayStars
50,山本　祐大,https://npb.jp/bis/players/23125136.html,1998.09.11,180,87,右,右,,DeNA BayStars
57,東妻　純平,https://npb.jp/bis/players/51155151.html,2001.07.03,174,83,右,右,,DeNA BayStars
66,上甲　凌大,https://npb.jp/bis/players/01905157.html,2001.01.29,184,90,右,左,,DeNA BayStars
00,林　琢真,https://npb.jp/bis/players/91695157.html,2000.08.24,174,74,右,左,,DeNA BayStars
2,牧　秀悟,https://npb.jp/bis/players/13115153.html,1998.04.21,178,97,右,右,,DeNA BayStars
3,オースティン,https://npb.jp/bis/players/73375151.html,1991.09.06,188,100,右,右,3/26 守備位置登録：外野手→内野手に変更,DeNA BayStars
6,森　敬斗,https://npb.jp/bis/players/33135151.html,2002.01.28,177,80,右,左,,DeNA BayStars
9,大和,https://npb.jp/bis/players/61465112.html,1987.11.05,177,77,右,右,,DeNA BayStars
31,柴田　竜拓,https://npb.jp/bis/players/41945132.html,1993.12.16,167,68,右,左,,DeNA BayStars
39,西浦　直亨,https://npb.jp/bis/players/91095139.html,1991.04.11,178,82,右,右,,DeNA BayStars
44,石上　泰輝,https://npb.jp/bis/players/91195159.html,2001.05.18,172,85,右,左,,DeNA BayStars
51,宮﨑　敏郎,https://npb.jp/bis/players/51455137.html,1988.12.12,172,85,右,右,,DeNA BayStars
55,井上　絢登,https://npb.jp/bis/players/31335159.html,2000.02.23,178,83,右,左,,DeNA BayStars
60,知野　直人,https://npb.jp/bis/players/91095138.html,1999.02.16,182,85,右,右,,DeNA BayStars
67,西巻　賢二,https://npb.jp/bis/players/71475136.html,1999.04.22,167,70,右,右,,DeNA BayStars
98,京田　陽太,https://npb.jp/bis/players/81585134.html,1994.04.20,184,90,右,左,,DeNA BayStars
99,フォード,https://npb.jp/bis/players/03205159.html,1992.07.04,183,102,右,左,7/8 支配下選手登録,DeNA BayStars
0,大田　泰示,https://npb.jp/bis/players/41345118.html,1990.06.09,188,96,右,右,,DeNA BayStars
1,桑原　将志,https://npb.jp/bis/players/51755135.html,1993.07.21,174,80,右,右,,DeNA BayStars
4,度会　隆輝,https://npb.jp/bis/players/33535159.html,2002.10.04,183,83,右,左,,DeNA BayStars
7,佐野　恵太,https://npb.jp/bis/players/91995134.html,1994.11.28,178,88,右,左,,DeNA BayStars
8,神里　和毅,https://npb.jp/bis/players/71575136.html,1994.01.17,179,86,右,左,,DeNA BayStars
25,筒香　嘉智,https://npb.jp/bis/players/41945131.html,1991.11.26,185,97,右,左,4/19 支配下選手登録,DeNA BayStars
28,勝又　温史,https://npb.jp/bis/players/41545138.html,2000.05.22,180,83,右,左,,DeNA BayStars
33,武田　陸玖,https://npb.jp/bis/players/91295159.html,2005.06.06,173,78,左,左,,DeNA BayStars
37,楠本　泰史,https://npb.jp/bis/players/61565136.html,1995.07.07,180,85,右,左,,DeNA BayStars
58,梶原　昂希,https://npb.jp/bis/players/51555155.html,1999.09.19,189,85,右,左,,DeNA BayStars
61,蝦名　達夫,https://npb.jp/bis/players/51555151.html,1997.09.20,185,88,右,右,,DeNA BayStars
63,関根　大気,https://npb.jp/bis/players/31935139.html,1995.06.28,173,78,左,左,,DeNA BayStars
101,草野　陽斗,https://npb.jp/bis/players/61565157.html,2004.06.07,175,87,右,右,,DeNA BayStars
102,清水　麻成,https://npb.jp/bis/players/41945159.html,2005.10.06,186,75,右,右,,DeNA BayStars
105,モロン,https://npb.jp/bis/players/13015159.html,2000.12.28,183,79,右,右,,DeNA BayStars
106,渡辺　明貴,https://npb.jp/bis/players/03505157.html,2000.01.29,188,105,右,右,,DeNA BayStars
107,マルセリーノ,https://npb.jp/bis/players/33235155.html,2002.06.16,191,82,右,右,,DeNA BayStars
108,今野　瑠斗,https://npb.jp/bis/players/01705157.html,2004.07.13,182,93,右,右,,DeNA BayStars
110,マルティネス,https://npb.jp/bis/players/63965159.html,2002.12.30,198,97,右,右,,DeNA BayStars
122,庄司　陽斗,https://npb.jp/bis/players/81985159.html,2001.05.31,184,91,左,左,,DeNA BayStars
116,九鬼　隆平,https://npb.jp/bis/players/31735134.html,1998.09.05,180,76,右,右,,DeNA BayStars
130,近藤　大雅,https://npb.jp/bis/players/81785159.html,2005.09.18,174,80,右,右,,DeNA BayStars
100,蓮,https://npb.jp/bis/players/93595157.html,2004.07.18,183,86,右,右,,DeNA BayStars
125,小笠原　蒼,https://npb.jp/bis/players/31535159.html,2005.10.20,180,92,右,左,,DeNA BayStars
133,粟飯原　龍之介,https://npb.jp/bis/players/31135155.html,2004.02.22,180,85,右,左,,DeNA BayStars
144,小深田　大地,https://npb.jp/bis/players/81985153.html,2003.03.25,176,93,右,左,,DeNA BayStars
193,高見澤　郁魅,https://npb.jp/bis/players/11215159.html,2006.01.18,183,85,右,左,,DeNA BayStars
103,村川　凪,https://npb.jp/bis/players/53355155.html,1998.06.26,174,65,右,左,,DeNA BayStars
83,阿部　慎之助,1979.03.20,,,Yomiuri Giants
15,大勢,https://npb.jp/bis/players/81085155.html,1999.06.29,183,90,右,右,,Yomiuri Giants
17,西舘　勇陽,https://npb.jp/bis/players/31635159.html,2002.03.11,185,79,右,右,,Yomiuri Giants
18,菅野　智之,https://npb.jp/bis/players/41745137.html,1989.10.11,186,95,右,右,,Yomiuri Giants
19,山﨑　伊織,https://npb.jp/bis/players/03305153.html,1998.10.10,181,81,右,左,,Yomiuri Giants
20,戸郷　翔征,https://npb.jp/bis/players/41045138.html,2000.04.04,187,84,右,右,,Yomiuri Giants
26,今村　信貴,https://npb.jp/bis/players/31335135.html,1994.03.15,180,90,左,左,,Yomiuri Giants
28,高橋　礼,https://npb.jp/bis/players/01005136.html,1995.11.02,187,90,右,右,,Yomiuri Giants
29,グリフィン,https://npb.jp/bis/players/03705157.html,1995.07.27,190,102,左,左,,Yomiuri Giants
30,近藤　大亮,https://npb.jp/bis/players/81785132.html,1991.05.29,177,80,右,右,,Yomiuri Giants
31,赤星　優志,https://npb.jp/bis/players/51155155.html,1999.07.02,175,82,右,右,,Yomiuri Giants
