      Player  Age  Pos    Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
149      NaN   24  8.0  157.2   9.0     73.4   7.2  1.7  NaN   0.1      0.5      NaN       NaN     Yakult Swallows     EL
150      NaN   24  9.0   74.0   0.3      5.2   0.0  0.2  NaN   0.1     -0.3      NaN       NaN     Yakult Swallows     EL
151      NaN   26  2.0  103.0   1.3     16.2   NaN  1.3  NaN   0.0      1.4      0.6       0.6  Nipponham Fighters     EL
152      NaN   26  3.0   34.0   0.8     30.3   0.6  NaN  0.0   0.2     -0.4      NaN       NaN  Nipponham Fighters     EL
153      NaN   26  4.0  212.0   1.7     10.3   0.9  NaN -0.5   1.3      0.6      NaN       NaN  Nipponham Fighters     EL
154      NaN   26  6.0   55.0   0.1      2.3   0.6  NaN  0.1  -0.6      0.4      NaN       NaN  Nipponham Fighters     EL
155      NaN   26  7.0    2.0   0.1     64.4   0.1  0.0  NaN   0.0      0.0      NaN       NaN  Nipponham Fighters     EL
156      NaN   26  9.0   15.0   0.3     25.7   0.0  0.3  NaN   0.0     -0.1      NaN       NaN  Nipponham Fighters     EL
157      NaN   26  NaN   12.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN  Nipponham Fighters     EL
158      NaN   24  7.0  151.2  -2.4    -20.4  -2.5  0.0  NaN   0.1     -1.4      NaN       NaN      Yomiuri Giants     EL
159      NaN   24  8.0   74.0   2.1     36.5   0.4  1.7  NaN   0.0      0.2      NaN       NaN      Yomiuri Giants     EL
160      NaN   24  9.0  367.1  -2.3     -8.1  -1.4 -1.1  NaN   0.2     -1.5      NaN       NaN      Yomiuri Giants     EL
161      NaN   24  NaN   55.1   NaN      NaN   NaN  NaN  NaN   NaN     -0.7      NaN       NaN      Yomiuri Giants     EL
162      NaN   26  3.0   19.0  -0.3    -20.3   0.3  NaN  0.0  -0.6     -0.2      NaN       NaN       Lotte Marines     EL
163      NaN   26  4.0  163.2  -1.5    -11.8  -1.1  NaN  1.4  -1.8      0.4      NaN       NaN       Lotte Marines     EL
164      NaN   26  5.0  104.0  -1.5    -18.6  -1.5  NaN -0.1   0.2     -0.4      NaN       NaN       Lotte Marines     EL
165      NaN   26  6.0   23.0   1.6     89.5   1.3  NaN -0.3   0.5      0.2      NaN       NaN       Lotte Marines     EL
166      NaN   26  7.0   44.2  -1.6    -46.1  -1.4 -0.2  NaN   0.0     -0.4      NaN       NaN       Lotte Marines     EL
167      NaN   26  8.0  132.1  -1.2    -11.7  -1.1 -0.2  NaN   0.1      0.4      NaN       NaN       Lotte Marines     EL
168      NaN   26  9.0   50.0  -2.6    -66.9  -2.1 -0.6  NaN   0.0     -0.2      NaN       NaN       Lotte Marines     EL
169      NaN   26  NaN   64.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.8      NaN       NaN       Lotte Marines     EL
170      NaN   22  7.0   57.2   0.7     15.6   0.9 -0.2  NaN   0.0     -0.5      NaN       NaN      Yomiuri Giants     EL
171      NaN   22  8.0  113.1   0.3      3.4   1.3 -0.2  NaN  -0.8      0.4      NaN       NaN      Yomiuri Giants     EL
172      NaN   22  9.0   36.0   0.9     32.2   1.1 -0.2  NaN   0.0     -0.1      NaN       NaN      Yomiuri Giants     EL
173      NaN   22  NaN    5.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN      Yomiuri Giants     EL
174      NaN   20  3.0   50.0  -0.3     -7.7  -0.4  NaN  0.0   0.2     -0.6      NaN       NaN       DeNA BayStars     EL
175      NaN   20  4.0  161.0  -2.2    -17.6  -2.1  NaN -0.8   0.6      0.4      NaN       NaN       DeNA BayStars     EL
176      NaN   20  5.0   15.0  -0.6    -51.5  -0.6  NaN -0.1   0.1     -0.1      NaN       NaN       DeNA BayStars     EL
177      NaN   20  NaN    2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN       DeNA BayStars     EL
178      NaN   20  3.0    2.0   0.0      0.0   0.0  NaN  0.0   0.0      0.0      NaN       NaN      Rakuten Eagles     EL
179      NaN   20  7.0   97.0   2.3     30.5   0.8  1.4  NaN   0.1     -0.9      NaN       NaN      Rakuten Eagles     EL
180      NaN   20  8.0   24.0   0.6     32.2   0.4  0.2  NaN   0.0      0.1      NaN       NaN      Rakuten Eagles     EL
181      NaN   20  9.0   82.0   0.9     14.1   1.3 -0.5  NaN   0.0     -0.3      NaN       NaN      Rakuten Eagles     EL
182      NaN   20  NaN   24.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN      Rakuten Eagles     EL
183      NaN   26  4.0   65.0  -1.0    -19.8  -0.5  NaN -0.7   0.1      0.2      NaN       NaN         Seibu Lions     EL
184      NaN   26  7.0   19.0  -1.2    -81.3  -1.6  0.5  NaN   0.0     -0.2      NaN       NaN         Seibu Lions     EL
185      NaN   26  8.0    9.0   0.3     42.9   0.3 -0.1  NaN   0.0      0.0      NaN       NaN         Seibu Lions     EL
186      NaN   26  9.0   32.0  -0.4    -16.1  -0.3  0.0  NaN   0.0     -0.1      NaN       NaN         Seibu Lions     EL
187      NaN   26  NaN   19.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN         Seibu Lions     EL
188      NaN   25  4.0   95.1  -0.1     -1.4  -1.0  NaN  0.1   0.9      0.3      NaN       NaN         Seibu Lions     EL
189      NaN   25  6.0    9.0  -1.1   -157.3  -0.2  NaN -0.3  -0.6      0.1      NaN       NaN         Seibu Lions     EL
190      NaN   25  7.0    5.0  -1.0   -257.4  -0.7 -0.3  NaN   0.0      0.0      NaN       NaN         Seibu Lions     EL
191      NaN   25  8.0    1.0  -0.2   -257.4  -0.2  0.0  NaN   0.0      0.0      NaN       NaN         Seibu Lions     EL
192      NaN   25  9.0   32.0  -0.3    -12.1  -0.5  0.1  NaN   0.0     -0.1      NaN       NaN         Seibu Lions     EL
193      NaN   25  NaN    2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN         Seibu Lions     EL
194      NaN   24  7.0  146.0  -4.3    -37.9  -4.9  0.5  NaN   0.1     -1.4      NaN       NaN       DeNA BayStars     EL
195      NaN   24  8.0  153.0   2.1     17.7   2.7 -0.6  NaN   0.1      0.5      NaN       NaN       DeNA BayStars     EL
196      NaN   24  9.0   95.0   3.2     43.4   2.9  0.2  NaN   0.1     -0.4      NaN       NaN       DeNA BayStars     EL
197      NaN   24  NaN   17.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN       DeNA BayStars     EL
198      NaN   23  7.0  185.0   3.4     23.7   2.5  0.7  NaN   0.2     -1.8      NaN       NaN      Rakuten Eagles     EL
199      NaN   23  8.0  421.0   1.6      4.9   3.8 -1.6  NaN  -0.6      1.4      NaN       NaN      Rakuten Eagles     EL
200      NaN   23  9.0   13.0  -1.5   -148.5  -1.7  0.1  NaN   0.0     -0.1      NaN       NaN      Rakuten Eagles     EL
201      NaN   23  NaN    9.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN      Rakuten Eagles     EL
202      NaN   22  4.0   15.0  -0.3    -25.7   0.7  NaN -0.5  -0.5      0.0      NaN       NaN      SoftBank Hawks     WL
203      NaN   22  5.0    7.0   0.2     36.8   0.1  NaN  0.0   0.1      0.0      NaN       NaN      SoftBank Hawks     WL
204      NaN   22  7.0   29.0   1.5     66.6   1.4  0.0  NaN   0.0     -0.3      NaN       NaN      SoftBank Hawks     WL
