Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Ohta Ryu,11,1,0,0,0,0,1.000,58,12,.2,11,1,11,0,1,9,0,0,8,8,5.68,Yomiuri Giants,
Sakurai Toshiki,35,5,0,0,0,0,1.000,200,49,.2,42,2,15,0,0,49,4,0,15,13,2.36,Yomiuri Giants,
Shiroki Yamato,4,0,2,0,0,0,.000,43,9,.2,13,3,2,0,0,5,0,0,7,6,5.59,Yomiuri Giants,
Shoemaker Matt,5,2,2,0,0,0,.500,116,28,,28,2,11,0,1,16,0,1,12,10,3.21,Yomiuri Giants,
Sugano Tomoyuki,1,0,0,0,0,0,.000,11,2,,3,2,2,0,1,1,0,0,4,4,18.00,Yomiuri Giants,
Suzuki Yu,5,0,0,0,0,0,.000,25,6,,2,0,5,0,0,6,1,0,3,3,4.50,Yomiuri Giants,
Takagi Kyosuke,18,1,1,1,0,0,.500,68,18,.1,8,0,5,0,0,18,0,0,3,3,1.47,Yomiuri Giants,
Takahashi Yuki,12,3,3,0,0,0,.500,246,57,,56,7,18,0,5,52,3,0,30,28,4.42,Yomiuri Giants,
Tanaka Toyoki,1,0,0,0,0,0,.000,6,1,,3,0,0,0,0,0,0,0,2,2,18.00,Yomiuri Giants,
Tanioka Tappei,18,0,2,4,0,0,.000,69,17,,15,2,6,0,0,15,0,0,4,3,1.59,Yomiuri Giants,
Toda Natsuki,26,2,0,0,0,0,1.000,228,51,.2,57,4,17,0,3,49,1,0,24,19,3.31,Yomiuri Giants,
Tomida Ryu,5,0,0,0,0,0,.000,20,3,,5,0,6,0,0,3,2,0,7,7,21.00,Yomiuri Giants,
Tone Chiaki,44,5,3,1,0,0,.625,211,47,.1,45,5,28,0,2,40,2,0,23,20,3.80,Yomiuri Giants,
Vieira Thyago,20,0,0,2,0,0,.000,75,20,,12,1,7,0,0,28,1,0,2,2,0.90,Yomiuri Giants,
Yamada Ryusei,9,0,2,0,0,0,.000,102,19,.2,23,1,25,0,0,12,3,0,19,19,8.69,Yomiuri Giants,
Yamaguchi Shun,23,1,2,3,0,0,.333,128,29,,32,3,9,0,1,31,5,0,14,13,4.03,Yomiuri Giants,
Yamamoto Itsuki,14,4,4,0,0,0,.500,267,61,.1,54,7,34,0,5,48,4,0,34,27,3.96,Yomiuri Giants,
Yamasaki Iori,2,1,0,0,0,0,1.000,36,10,,6,0,2,0,0,6,0,0,0,0,0.00,Yomiuri Giants,
Yamasaki Yusuke,3,1,0,0,0,0,1.000,33,7,,8,0,3,0,1,4,0,0,2,2,2.57,Yomiuri Giants,
Yokogawa Kai,25,7,2,0,1,0,.778,366,89,.1,85,8,26,0,3,65,3,1,32,26,2.62,Yomiuri Giants,
Yonahara Hirotaka,25,0,2,0,0,0,.000,115,29,.2,23,2,4,0,3,21,4,0,10,7,2.12,Yomiuri Giants,
Cole A.J.,6,0,2,0,0,0,.000,51,14,.1,8,1,2,0,0,12,0,0,4,4,2.51,Yakult Swallows,
Hara Juri,1,0,1,0,0,0,.000,22,5,,9,0,0,0,0,2,0,0,4,4,7.20,Yakult Swallows,
Hasegawa Hiroki,14,1,0,1,0,0,1.000,60,14,,12,1,6,0,0,8,2,0,6,6,3.86,Yakult Swallows,
Hoshi Tomoya,29,3,5,3,0,0,.375,204,47,,51,3,16,0,1,29,2,0,21,19,3.64,Yakult Swallows,
Ichikawa Yuta,19,5,6,0,0,0,.455,394,88,.1,105,8,29,0,7,60,2,0,51,41,4.18,Yakult Swallows,
Ishikawa Masanori,2,0,0,0,0,0,.000,24,6,,6,1,0,0,1,3,0,0,1,1,1.50,Yakult Swallows,
Ishiyama Taichi,11,1,1,0,0,0,.500,48,12,,12,4,2,0,0,9,0,0,6,6,4.50,Yakult Swallows,
Kanakubo Yuto,17,4,7,0,0,0,.364,383,86,.1,93,8,33,0,3,61,10,0,45,41,4.27,Yakult Swallows,
Katekaru Kouta,16,1,2,0,0,0,.333,119,22,.2,32,4,19,0,1,11,5,1,22,21,8.34,Yakult Swallows,
Kizawa Naofumi,1,0,0,0,0,0,.000,4,1,,0,0,1,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Konno Ryuta,5,0,0,1,0,0,.000,18,5,,1,0,0,0,1,4,0,0,0,0,0.00,Yakult Swallows,
Kozawa Reiji,25,1,1,8,0,0,.500,117,30,.2,12,2,11,0,1,34,3,0,5,5,1.47,Yakult Swallows,
Kubo Takuma,23,3,0,1,0,0,1.000,139,30,.1,25,1,16,0,6,29,0,0,17,17,5.04,Yakult Swallows,
Maruyama Shota,20,5,5,0,0,0,.500,318,73,.1,77,7,31,0,1,61,6,0,46,41,5.03,Yakult Swallows,
