#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/21225136.html>Nakagawa Koh</a>,1,0,0,0,0,0,9,1.0,2,0,0,4,0,0,0,3,3,27.00,15.62,9.24,6.00,11,399,245,11.38,0.0%,0.0%,44.4%,-44.4%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,R,C
,<a href=https://npb.jp/bis/eng/players/11015151.html>Sakamoto Yuya</a>,1,0,0,0,0,0,7,1.0,3,0,3,1,0,0,0,1,1,9.00,0.62,1.94,4.00,34,16,52,8.38,0.0%,42.9%,14.3%,28.6%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,L,C
,<a href=https://npb.jp/bis/eng/players/71975134.html>Sasaki Chihaya</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,41,39,-1.62,0.0%,33.3%,0.0%,33.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,32,R,C
,<a href=https://npb.jp/bis/eng/players/11015152.html>Shimada Shunya</a>,2,0,0,0,0,0,21,5.2,2,0,3,3,0,0,1,0,0,0.00,4.15,4.80,0.88,999,106,127,-4.15,0.0%,14.3%,14.3%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/41945159.html>Shimizu Manato</a>,2,0,0,0,0,0,6,2.0,0,0,2,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,41,39,-1.62,0.0%,33.3%,0.0%,33.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,20,R,C
,<a href=https://npb.jp/bis/eng/players/41045150.html>Shinogi Kentaro</a>,2,0,0,1,0,0,16,4.0,1,0,3,3,0,1,0,2,2,4.50,5.12,4.80,1.00,68,131,127,-0.62,0.0%,18.8%,18.8%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,C
,<a href=https://npb.jp/bis/eng/players/81985159.html>Shoji Haruto</a>,3,1,0,0,0,0,15,4.0,3,0,2,1,0,0,1,0,0,0.00,3.37,4.13,1.00,999,86,110,-3.37,0.0%,13.3%,6.7%,6.7%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,25,L,C
,<a href=https://npb.jp/bis/eng/players/01905139.html>Taira Kentaro</a>,1,1,0,0,0,0,20,5.0,5,0,5,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,41,61,-1.62,0.0%,25.0%,0.0%,25.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,R,C
,<a href=https://npb.jp/bis/eng/players/91295159.html>Takeda Riku</a>,2,0,1,1,0,0,19,4.0,5,0,6,2,0,0,0,3,3,6.75,2.12,2.69,1.75,45,54,71,4.63,0.0%,31.6%,10.5%,21.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,21,L,C
,<a href=https://npb.jp/bis/eng/players/11415150.html>Takeda Yu</a>,1,0,0,0,0,0,20,4.2,4,0,4,1,0,0,0,3,1,1.93,2.55,3.30,1.07,158,65,88,-0.62,0.0%,20.0%,5.0%,15.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,R,C
