Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,sHPT,sST,sSeager,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Sano Miguel,Chunichi,R,50,32.0,6.0,26.0,42.0212766,61.11111111,24.48979592,69.62025316,85.45454545,33.33333333,12.76595745,30.37974684,31.38297872,32.11009174,57.36434109,25.25424934,55.31914894,20.68965517,75.86206897,3.448275862,58.62068966,17.24137931,79.31034483,6.0,13.63636364,34.48275862,48.27586207,17.24137931,24.13793103
Reyes Franmil,Nipponham,R,50,24.0,8.0,16.0,52.94117647,79.31034483,33.33333333,62.96296296,75.36231884,41.02564103,19.60784314,37.03703704,28.43137255,18.75,53.06122449,34.31122449,55.39215686,45.45454545,48.48484848,6.060606061,42.42424242,6.060606061,54.54545455,4.0,12.5,33.33333333,48.48484848,18.18181818,9.090909091
Hirooka Taishi,ORIX,R,50,32.0,6.0,26.0,47.44186047,67.25663717,25.24271845,70.58823529,80.26315789,42.30769231,13.95348837,29.41176471,30.69767442,32.45614035,50.32679739,17.87065703,60.46511628,61.29032258,35.48387097,3.225806452,25.80645161,9.677419355,38.70967742,0.0,0.0,45.16129032,32.25806452,22.58064516,16.12903226
Nakagawa Keita,ORIX,R,49,6.12244898,8.163265306,-2.040816327,43.39622642,63.75,22.78481013,85.50724638,90.19607843,72.22222222,6.289308176,14.49275362,24.52830189,32.22222222,54.46428571,22.24206349,52.20125786,54.76190476,33.33333333,11.9047619,16.66666667,16.66666667,45.23809524,4.081632653,14.28571429,50.0,30.95238095,19.04761905,23.80952381
Kobukata Hiroto,Rakuten,L,49,28.57142857,10.20408163,18.36734694,40.27777778,56.66666667,19.79166667,72.4137931,79.41176471,47.36842105,11.11111111,27.5862069,33.33333333,40.31007752,53.10344828,12.79337076,59.72222222,46.42857143,42.85714286,10.71428571,35.71428571,7.142857143,53.57142857,0.0,0.0,50.0,35.71428571,14.28571429,24.13793103
Voit Luke,Rakuten,R,49,20.40816327,4.081632653,16.32653061,50.56818182,77.5,27.83505155,66.29213483,80.64516129,33.33333333,17.04545455,33.70786517,26.70454545,20.45454545,53.03030303,32.57575758,56.81818182,47.05882353,50.0,2.941176471,44.11764706,5.882352941,52.94117647,0.0,0.0,41.17647059,41.17647059,17.64705882,17.64705882
Sakakura Shogo,Hiroshima,L,48,18.75,16.66666667,2.083333333,46.23655914,68.53932584,25.77319588,75.58139535,81.96721311,60.0,11.29032258,24.41860465,25.80645161,28.0,54.13533835,26.13533835,56.98924731,31.03448276,62.06896552,6.896551724,55.17241379,6.896551724,68.96551724,2.083333333,5.555555556,41.37931034,24.13793103,34.48275862,16.66666667
Itoh Ryui,Yakult,R,48,29.16666667,10.41666667,18.75,41.62436548,57.29166667,26.73267327,68.29268293,81.81818182,40.74074074,13.19796954,31.70731707,33.50253807,35.65217391,57.36434109,21.71216717,57.36040609,57.14285714,35.71428571,7.142857143,21.42857143,14.28571429,42.85714286,4.166666667,20.0,35.71428571,32.14285714,32.14285714,14.28571429
Hummel Cooper,DeNA,L,48,31.25,18.75,12.5,44.7761194,70.45454545,24.77876106,66.66666667,79.03225806,39.28571429,14.92537313,33.33333333,27.86069652,23.42342342,57.82312925,34.39970583,52.73631841,39.13043478,56.52173913,4.347826087,34.7826087,21.73913043,60.86956522,2.083333333,7.692307692,39.13043478,43.47826087,17.39130435,16.66666667
Canario Alexander,Seibu,R,48,33.33333333,8.333333333,25.0,55.15463918,81.31868132,32.03883495,67.28971963,78.37837838,42.42424242,18.04123711,32.71028037,26.80412371,19.54022989,48.61111111,29.07088123,58.7628866,42.85714286,46.42857143,10.71428571,21.42857143,25.0,57.14285714,0.0,0.0,35.71428571,53.57142857,10.71428571,7.142857143
Watarai Ryuki,DeNA,L,47,19.14893617,2.127659574,17.0212766,54.30463576,73.4939759,30.88235294,85.36585366,88.52459016,76.19047619,7.947019868,14.63414634,21.85430464,31.88405797,43.51851852,11.63446055,58.94039735,38.88888889,58.33333333,2.777777778,44.44444444,13.88888889,61.11111111,4.255319149,9.523809524,44.44444444,30.55555556,25.0,32.43243243
Kojima Taiga,Seibu,L,46,13.04347826,0.0,13.04347826,53.10344828,67.46987952,33.87096774,79.22077922,92.85714286,42.85714286,11.03448276,20.77922078,29.65517241,39.70588235,42.26804124,2.562158884,63.44827586,37.5,50.0,12.5,45.0,5.0,62.5,4.347826087,10.0,32.5,35.0,32.5,15.0
Matsumoto Go,Yomiuri,R,46,17.39130435,4.347826087,13.04347826,42.77108434,54.54545455,29.48717949,88.73239437,97.91666667,69.56521739,4.819277108,11.26760563,27.71084337,42.10526316,53.39805825,11.29279509,60.24096386,58.33333333,27.77777778,13.88888889,22.22222222,5.555555556,41.66666667,0.0,0.0,38.88888889,30.55555556,30.55555556,8.333333333
