Pitcher,G,W,L,SV,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Ono Fumiya,2,0,0,0,0,0,0,.000,8,2,4,0,0,0,0,0,0,0,0,0,0.00,Lotte Marines,
Sakai Haru,3,0,0,0,0,0,0,.000,15,3,3,0,3,0,0,2,0,0,2,2,6.00,Lotte Marines,
Sakamoto Koshiro,4,1,0,0,0,0,0,1.000,18,5,2,0,3,0,1,3,0,0,0,0,0.00,Lotte Marines,
Takahashi Kaishu,4,0,0,1,0,0,0,.000,18,4,2,0,3,0,0,1,0,0,1,0,0.00,Lotte Marines,
Yagi Akira,4,0,0,0,0,0,0,.000,43,9.2,11,0,2,0,0,9,0,0,3,3,2.79,Lotte Marines,
Fujiwara Haruto,2,1,0,0,0,0,0,1.000,44,11,8,0,2,0,0,10,2,1,3,3,2.45,SoftBank Hawks,
Higashihama Nao,2,2,0,0,0,0,0,1.000,51,11,16,0,3,0,0,6,0,0,6,6,4.91,SoftBank Hawks,
Hsu Jo-Hsi,1,1,0,0,0,0,0,1.000,19,5,3,0,1,0,0,3,0,0,1,1,1.80,SoftBank Hawks,
Itoh Yusuke,1,0,0,1,0,0,0,.000,6,2,0,0,0,0,0,3,0,0,0,0,0.00,SoftBank Hawks,
Kamichatani Taiga,1,1,0,0,0,0,0,1.000,24,7,1,0,1,0,1,5,0,0,0,0,0.00,SoftBank Hawks,
Kimura Taisei,3,1,0,0,0,0,0,1.000,14,3.1,1,0,4,0,0,0,0,0,1,1,2.70,SoftBank Hawks,
Maeda Jun,1,0,1,0,0,0,0,.000,19,4.2,5,1,0,0,0,6,1,0,3,1,1.93,SoftBank Hawks,
Maeda Yugo,2,0,0,1,0,0,0,.000,24,6,5,0,0,0,0,8,0,0,1,1,1.50,SoftBank Hawks,
Nagamizu Keishin,1,0,1,0,1,0,0,.000,20,5,5,0,2,0,0,2,1,0,2,2,3.60,SoftBank Hawks,
Nakamura Toshiya,1,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,3,0,0,0,0,0.00,SoftBank Hawks,
Ogata Shuto,2,1,1,0,0,0,0,.500,50,11.2,10,0,5,0,0,10,0,0,4,2,1.54,SoftBank Hawks,
Ohe Ryusei,2,0,0,0,0,0,0,.000,12,2,3,0,2,0,0,2,0,0,1,0,0.00,SoftBank Hawks,
Ohno Kazuo,1,1,0,0,0,0,0,1.000,25,6.2,3,0,3,0,0,4,0,0,0,0,0.00,SoftBank Hawks,
Ohtake Fuga,2,0,0,0,0,0,0,.000,7,2,1,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
Ohtsu Ryosuke,2,1,0,0,0,0,0,1.000,33,8.1,7,1,3,0,0,7,0,0,3,3,3.24,SoftBank Hawks,
Ohyama Ryo,1,0,0,0,0,0,0,.000,8,2,1,0,1,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
Ohzeki Tomohisa,1,0,0,0,0,0,0,.000,13,4,1,0,0,0,0,3,1,0,0,0,0.00,SoftBank Hawks,
Okada Koichiro,1,0,0,0,0,0,0,.000,6,1.2,2,0,0,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
Rodriguez Luis,3,0,1,0,0,0,0,.000,8,1.2,3,0,0,0,0,3,0,0,1,1,5.40,SoftBank Hawks,
Suzuki Gota,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
