Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Ohe Ryusei,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Ohshiro Takumi,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Yomiuri Giants,
Okada Yuki,10,25,21,3,6,1,0,0,7,3,1,1,0,0,4,0,0,7,0,.286,.333,.400,Yomiuri Giants,
Sasahara Misaki,8,23,19,3,8,2,0,0,10,4,3,0,0,1,3,0,0,3,0,.421,.526,.478,Yomiuri Giants,
Sasaki Shunsuke,12,34,33,6,9,1,1,0,12,1,1,1,0,0,1,0,0,5,0,.273,.364,.294,Yomiuri Giants,
Shigenobu Shinnosuke,9,23,19,6,3,0,0,1,6,2,1,1,1,0,3,0,0,3,1,.158,.316,.273,Yomiuri Giants,
Takahashi Rei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Takanashi Yuhei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Tamura Tomoki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Tanaka Masahiro,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
Tima Julian,10,35,31,4,10,3,0,2,19,8,0,0,0,1,3,0,0,5,2,.323,.613,.371,Yomiuri Giants,
Toda Natsuki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Urata Shunsuke,3,6,6,2,3,0,0,0,3,3,1,0,0,0,0,0,0,0,0,.500,.500,.500,Yomiuri Giants,
Yamasaki Iori,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Yamase Shinnosuke,7,18,14,4,6,1,0,0,7,2,0,0,1,0,3,0,0,2,1,.429,.500,.529,Yomiuri Giants,
Yokogawa Kai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Yuasa Dai,9,27,25,2,5,0,0,0,5,4,0,0,1,0,1,0,0,6,1,.200,.200,.231,Yomiuri Giants,
Avila Pedro,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yakult Swallows,
Hamada Taiki,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Yakult Swallows,
Hara Juri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yakult Swallows,
Hashimoto Seiya,10,36,34,5,8,3,0,0,11,4,1,1,0,0,2,0,0,4,1,.235,.324,.278,Yakult Swallows,
