Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Tamamura Shogo,9,15,14,0,2,0,0,0,2,2,0,0,1,0,9,0,0,0,0,0.143,0.143,0.143,0.286,-14,0.000,0.400,60.0%,60.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tamura Shunsuke,10,22,22,3,8,2,0,0,10,0,0,0,0,0,6,0,0,0,1,0.364,0.364,0.455,0.819,148,0.091,0.500,27.3%,27.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tanaka Kosuke,111,253,224,28,51,10,0,6,79,28,2,6,3,0,48,25,2,1,6,0.228,0.308,0.353,0.661,101,0.125,0.265,31.2%,19.0%,9.9%,0.52,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Tokoda Hiroki,24,50,40,3,11,4,0,0,15,1,0,0,8,0,12,2,0,0,0,0.275,0.310,0.375,0.685,108,0.100,0.393,28.0%,24.0%,4.0%,0.17,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Uemoto Takashi,84,276,247,20,64,7,1,1,76,17,8,2,8,0,46,12,0,9,1,0.259,0.317,0.308,0.625,91,0.049,0.315,21.4%,16.7%,4.3%,0.26,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Yano Masaya,93,146,119,22,22,2,0,0,24,3,7,0,12,1,35,14,1,0,2,0.185,0.269,0.202,0.471,45,0.017,0.259,33.6%,24.0%,9.6%,0.40,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Amburgey Trey,4,8,8,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-24,0.000,0.200,37.5%,37.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Austin Tyler,22,54,47,5,13,6,0,0,19,6,0,0,0,1,13,6,0,0,0,0.277,0.352,0.404,0.756,125,0.127,0.371,35.2%,24.1%,11.1%,0.46,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Azuma Katsuki,24,56,47,1,6,1,0,0,7,5,0,0,7,0,17,2,0,0,2,0.128,0.163,0.149,0.312,-5,0.021,0.200,33.9%,30.4%,3.6%,0.12,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Bauer Trevor,19,45,39,2,1,0,0,0,1,0,0,0,5,0,18,1,0,0,1,0.026,0.050,0.026,0.076,-75,0.000,0.048,42.2%,40.0%,2.2%,0.06,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Chino Naoto,39,39,30,9,5,1,0,2,12,5,2,1,1,0,9,7,1,1,0,0.167,0.342,0.400,0.742,121,0.233,0.158,46.2%,23.1%,17.9%,0.78,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ebina Tatsuo,42,51,43,6,6,1,0,0,7,0,1,0,3,0,12,1,0,4,0,0.140,0.229,0.163,0.392,20,0.023,0.194,25.5%,23.5%,2.0%,0.08,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Fujita Kazuya,23,24,21,0,6,1,0,0,7,0,0,0,1,0,5,2,0,0,0,0.286,0.348,0.333,0.681,104,0.047,0.375,29.2%,20.8%,8.3%,0.40,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Gsellman Robert,13,19,13,2,2,2,0,0,4,1,0,0,2,0,3,4,0,0,0,0.154,0.353,0.308,0.661,100,0.154,0.200,36.8%,15.8%,21.1%,1.33,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hamaguchi Haruhiro,14,21,18,3,5,1,0,0,6,0,0,0,3,0,3,0,0,0,0,0.278,0.278,0.333,0.611,82,0.055,0.333,14.3%,14.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Hayashi Takuma,65,154,141,12,29,5,0,0,34,11,7,3,5,2,29,6,0,0,2,0.206,0.235,0.241,0.476,43,0.035,0.254,22.7%,18.8%,3.9%,0.21,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Imanaga Shota,22,45,38,2,10,2,1,0,14,3,0,0,7,0,10,0,0,0,0,0.263,0.263,0.368,0.631,87,0.105,0.357,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Ishida Kenta,23,34,26,0,2,0,0,0,2,2,0,0,6,0,8,1,0,1,0,0.077,0.143,0.077,0.220,-32,0.000,0.111,26.5%,23.5%,2.9%,0.12,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
