                   Player   G   PA   AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K Age  Pos  B                Team League
131          Cabbage Trey  34  147  133  15  36   7   0   6  61   15   3   3   1   0  41  10    0   3    2  0.271  0.336  0.459  0.795   152  0.188  0.349   38.8%   27.9%   6.8%  0.24  28    9  L      Yomiuri Giants     CL
132       Chono Hisayoshi  13   20   19   1   2   0   0   0   2    0   0   0   0   0   7   1    0   0    0  0.105  0.150  0.105  0.255   -18  0.000  0.167   40.0%   35.0%   5.0%  0.14  40    7  R      Yomiuri Giants     CL
134        Griffin Foster   4    6    6   0   1   0   0   0   1    0   0   0   0   0   3   0    0   0    0  0.167  0.167  0.167  0.334     6  0.000  0.333   50.0%   50.0%   0.0%  0.00  29    1  L      Yomiuri Giants     CL
135          Hagio Masaya   9   25   23   0   4   0   0   0   4    0   1   0   1   0   5   1    1   0    0  0.174  0.208  0.174  0.382    22  0.000  0.222   24.0%   20.0%   4.0%  0.20  24    8  R      Yomiuri Giants     CL
137       Hernandez Elier  34  123  111   9  23   6   0   1  32    6   0   2   0   0  26  11    0   1    3  0.207  0.285  0.288  0.573    83  0.081  0.262   30.9%   21.1%   8.9%  0.42  30    8  R      Yomiuri Giants     CL
138         Hotta Kenshin   7    5    5   1   2   0   0   0   2    0   0   0   0   0   2   0    0   0    0  0.400  0.400  0.400  0.800   156  0.000  0.667   40.0%   40.0%   0.0%  0.00  24    1  R      Yomiuri Giants     CL
139          Inoue Haruto   7   13   12   0   1   0   0   0   1    0   0   0   1   0   8   0    0   0    0  0.083  0.083  0.083  0.166   -48  0.000  0.250   61.5%   61.5%   0.0%  0.00  24    1  L      Yomiuri Giants     CL
140      Ishikawa Tatsuya  12    7    7   0   2   0   0   0   2    1   0   0   0   0   2   0    0   0    0  0.286  0.286  0.286  0.572    82  0.000  0.400   28.6%   28.6%   0.0%  0.00  27    1  R      Yomiuri Giants     CL
141         Izuguchi Yuta  34  149  132  14  35   2   0   1  40    6   0   4   4   0  16  12    0   1    2  0.265  0.331  0.303  0.634   103  0.038  0.296   19.5%   10.7%   8.1%  0.75  26    6  L      Yomiuri Giants     CL
143       Kadowaki Makoto  23   52   45   3   7   2   0   0   9    2   2   0   3   0  13   3    0   1    2  0.156  0.224  0.200  0.424    35  0.044  0.219   30.8%   25.0%   5.8%  0.23  24    6  L      Yomiuri Giants     CL
144            Kai Takuya  38  148  130  11  36   3   0   3  48   10   2   0   0   2  32  16    2   0    4  0.277  0.351  0.369  0.720   130  0.092  0.340   34.5%   21.6%  10.8%  0.50  32    2  R      Yomiuri Giants     CL
146      Kishida Yukinori  14   27   25   1   6   0   0   1   9    4   0   0   1   0   4   1    0   0    0  0.240  0.269  0.360  0.629    99  0.120  0.250   22.2%   14.8%   3.7%  0.25  28    2  R      Yomiuri Giants     CL
147          Kohri Takuya   3    2    2   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000    0.0%    0.0%   0.0%        27    7  R      Yomiuri Giants     CL
149          Masuda Daiki  15    4    4   3   1   0   0   0   1    0   1   1   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    59  0.000  0.333   25.0%   25.0%   0.0%  0.00  31    8  R      Yomiuri Giants     CL
150           Masuda Riku  21   65   61   5  21   3   0   2  30    4   0   1   0   0  16   4    1   0    0  0.344  0.385  0.492  0.877   178  0.148  0.442   33.8%   24.6%   6.2%  0.25  25    3  R      Yomiuri Giants     CL
152        Nakayama Raito  26   60   57   6  13   3   0   0  16    2   0   2   0   0  11   1    0   2    1  0.228  0.267  0.281  0.548    74  0.053  0.283   20.0%   18.3%   1.7%  0.09  23    5  L      Yomiuri Giants     CL
154        Ohshiro Takumi  22   48   46   3   7   1   0   2  14    5   0   0   0   0  20   2    1   0    2  0.152  0.188  0.304  0.492    55  0.152  0.208   50.0%   41.7%   4.2%  0.10  32    3  L      Yomiuri Giants     CL
155            Okada Yuki   5    8    7   0   1   0   0   0   1    0   0   0   0   0   4   1    0   0    0  0.143  0.250  0.143  0.393    27  0.000  0.333   62.5%   50.0%  12.5%  0.25  25    9  L      Yomiuri Giants     CL
156        Okamoto Kazuma  32  134  117  16  36   8   1   8  70   25   1   1   0   2  16  12    2   3    1  0.308  0.381  0.598  0.979   209  0.290  0.295   26.9%   11.9%   9.0%  0.75  29    3  R      Yomiuri Giants     CL
157           Okoye Louis  11   15   15   0   2   0   0   0   2    0   0   0   0   0   5   0    0   0    0  0.133  0.133  0.133  0.266   -16  0.000  0.200   33.3%   33.3%   0.0%  0.00  27    8  R      Yomiuri Giants     CL
159       Sakamoto Hayato  15   48   45   1   6   2   0   0   8    3   0   0   0   2  11   1    0   0    3  0.133  0.146  0.178  0.324     2  0.045  0.167   25.0%   22.9%   2.1%  0.09  36    5  R      Yomiuri Giants     CL
160       Sasahara Misaki   8   19   18   0   1   0   0   0   1    0   0   0   0   0   7   1    0   0    0  0.056  0.105  0.056  0.161   -48  0.000  0.091   42.1%   36.8%   5.3%  0.14  21    9  R      Yomiuri Giants     CL
161       Sasaki Shunsuke  11   25   22   1   2   0   0   0   2    0   0   0   1   0   8   2    0   0    0  0.091  0.167  0.091  0.258   -17  0.000  0.143   40.0%   32.0%   8.0%  0.25  25    7  L      Yomiuri Giants     CL
