                 Pitcher   G  W  L  SV  HLD  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
73           Keller Kyle  17  1  1   0    2   0    0   66  15.1  11   4  17   9    1   0   0   9   9   5.28   5.79   3.59  1.30   51  190     99   -0.51   6.1%  25.8%  13.6%   12.1%  32  R      Yomiuri Giants     CL
74       Martinez Raidel  25  1  0  21    2   0    0   93  24.2  13   0  22   6    1   0   0   0   0   0.00   1.80   3.08  0.77  999   59     85   -1.80   0.0%  23.7%   6.5%   17.2%  28  R      Yomiuri Giants     CL
75         Nakagawa Kota  24  1  0   0   16   0    0   89  21.1  20   2  30   1    0   1   0   5   4   1.69   1.54   1.54  0.98  160   51     43    0.15   2.2%  33.7%   1.1%   32.6%  31  L      Yomiuri Giants     CL
76        Nishidate Yuhi   5  0  0   0    1   0    0   31   7.0   7   1   7   3    0   1   0   2   2   2.57   4.42   3.51  1.43  105  145     97   -1.85   3.2%  22.6%   9.7%   12.9%  23  R      Yomiuri Giants     CL
77            Ota Taisei  25  5  2   0   17   0    0  106  25.0  22   1  27   7    3   2   2   7   7   2.52   2.29   2.91  1.16  108   75     81    0.23   0.9%  25.5%   6.6%   18.9%  26  R      Yomiuri Giants     CL
78       Takanashi Yuhei  18  0  1   0    5   0    0   56  11.1  10   0  13  10    3   3   0   4   4   3.18   4.00   4.26  1.76   85  131    118   -0.82   0.0%  23.2%  17.9%    5.4%  32  L      Yomiuri Giants     CL
79           Tanaka Eito  22  0  1   0   13   0    0   77  18.1  21   0  16   5    4   1   0   7   6   2.95   2.09   3.37  1.42   92   69     93    0.86   0.0%  20.8%   6.5%   14.3%  25  R      Yomiuri Giants     CL
80       Tanaka Masahiro   3  1  1   0    0   0    0   55  10.0  20   0   4   7    1   0   0  10  10   9.00   4.15   5.35  2.70   30  136    148    4.85   0.0%   7.3%  12.7%   -5.5%  36  R      Yomiuri Giants     CL
81          Toda Natsuki   2  0  1   0    0   0    0   12   2.2   3   0   0   1    1   0   0   1   1   3.38   3.98   5.63  1.50   80  131    156   -0.60   0.0%   0.0%   8.3%   -8.3%  24  R      Yomiuri Giants     CL
82           Togo Shosei   8  1  4   0    0   0    0  184  38.0  56   5  24  15    1   0   0  30  24   5.68   4.48   4.31  1.87   48  147    119    1.20   2.7%  13.0%   8.2%    4.9%  25  R      Yomiuri Giants     CL
83         Yamasaki Iori  10  6  1   0    0   0    0  257  67.1  46   4  58  10    0   1   1  12   9   1.20   2.39   2.93  0.83  226   79     81   -1.19   1.6%  22.6%   3.9%   18.7%  26  R      Yomiuri Giants     CL
84          Yokogawa Kai  10  0  0   0    1   0    0   68  16.2  13   1   9   5    0   1   0   6   6   3.24   3.63   4.21  1.08   84  119    117   -0.39   1.5%  13.2%   7.4%    5.9%  24  L      Yomiuri Giants     CL
85           Avila Pedro   3  1  2   0    0   0    0   61  16.0   8   0  11   6    1   0   1   7   6   3.38   2.60   3.98  0.88   88   78    110    0.78   0.0%  18.0%   9.8%    8.2%  28  R     Yakult Swallows     CL
86          Baumann Mike  13  0  1   0    1   0    0   60  12.1  13   3  13  10    2   0   0   6   5   3.65   6.34   4.30  1.86   82  189    119   -2.69   5.0%  21.7%  16.7%    5.0%  29  R     Yakult Swallows     CL
87       Hasegawa Hiroki   2  0  0   0    0   0    0    7   1.0   1   0   0   2    0   1   0   0   0   0.00  11.85   7.66  3.00  999  354    212  -11.85   0.0%   0.0%  28.6%  -28.6%  26  L     Yakult Swallows     CL
88          Hoshi Tomoya  10  0  1   0    5   0    0   36   9.1   4   0   4   5    1   0   0   1   1   0.96   3.60   5.08  0.96  311  107    141   -2.64   0.0%  11.1%  13.9%   -2.8%  31  R     Yakult Swallows     CL
89     Ishikawa Masanori   4  2  2   0    0   0    0   81  16.1  26   1   4   7    1   0   0  17  14   7.71   4.44   5.17  2.02   39  133    143    3.27   1.2%   4.9%   8.6%   -3.7%  45  L     Yakult Swallows     CL
90       Ishiyama Taichi  19  1  1  11    4   0    0   63  18.1   6   2  20   2    0   0   0   2   2   0.98   2.42   1.94  0.44  305   72     54   -1.44   3.2%  31.7%   3.2%   28.6%  36  R     Yakult Swallows     CL
91         Kanakubo Yuto   7  0  1   0    0   0    0   47  10.1  17   4   8   2    0   0   1   8   8   6.97   6.92   3.52  1.84   43  206     98    0.05   8.5%  17.0%   4.3%   12.8%  25  R     Yakult Swallows     CL
92        Kizawa Naofumi  16  2  1   0    8   0    0   68  14.0  17   0   9   6    1   2   0   7   7   4.50   3.28   4.36  1.64   66   98    121    1.22   0.0%  13.2%   8.8%    4.4%  27  R     Yakult Swallows     CL
93          Kozawa Reiji  19  0  4   0    3   0    0   92  19.2  19   4  20  15    2   0   0   9   8   3.66   5.75   4.26  1.73   82  172    118   -2.09   4.3%  21.7%  16.3%    5.4%  27  R     Yakult Swallows     CL
94         Lambert Peter   8  1  4   0    0   0    0  192  46.1  40   3  35  15    0   3   3  13  13   2.53   3.35   3.76  1.19  118  100    104   -0.82   1.6%  18.2%   7.8%   10.4%  28  R     Yakult Swallows     CL
95        Maruyama Shota   3  0  0   0    0   0    0   15   4.0   3   0   4   0    0   0   0   1   1   2.25   0.85   2.13  0.75  133   25     59    1.40   0.0%  26.7%   0.0%   26.7%  26  R     Yakult Swallows     CL
96        Ogawa Yasuhiro   7  2  4   0    0   1    1  189  44.1  46   3  24   8    1   1   1  21  17   3.45   3.26   3.95  1.22   87   97    109    0.19   1.6%  12.7%   4.2%    8.5%  35  R     Yakult Swallows     CL
97        Ohnishi Hiroki   9  1  0   0    1   0    0   45  10.0  11   0   6   3    0   1   0   2   1   0.90   2.85   4.13  1.40  332   85    114   -1.95   0.0%  13.3%   6.7%    6.7%  27  R     Yakult Swallows     CL
98      Okugawa Yasunobu   5  0  3   0    0   0    0  121  25.2  40   1  22   5    0   0   1  21  16   5.61   2.23   3.40  1.75   53   67     94    3.38   0.8%  18.2%   4.1%   14.0%  24  R     Yakult Swallows     CL
99     Sakaguchi Kousuke   8  0  0   0    0   0    0   53  12.0   8   0   5  10    1   2   0   4   4   3.00   5.02   5.74  1.50   99  150    159   -2.02   0.0%   9.4%  18.9%   -9.4%  25  R     Yakult Swallows     CL
100       Shimizu Noboru  12  0  1   0    5   0    0   52  12.0  15   1   7   3    1   0   0   8   8   6.00   3.52   4.03  1.50   50  105    112    2.48   1.9%  13.5%   5.8%    7.7%  28  R     Yakult Swallows     CL
101   Shimokawa Shunsuke   1  0  0   0    0   0    0   15   4.0   3   1   0   0    0   0   0   2   2   4.50   6.10   4.80  0.75   66  182    133   -1.60   6.7%   0.0%   0.0%    0.0%  25  R     Yakult Swallows     CL
102           Shoji Kota  11  0  0   0    5   0    0   46  12.0   6   0  17   3    0   2   0   0   0   0.00   1.27   1.76  0.75  999   38     49   -1.27   0.0%  37.0%   6.5%   30.4%  25  L     Yakult Swallows     CL
103       Taguchi Kazuto  19  1  1   0    5   0    0   71  15.1  17   0  13   6    1   2   1   9   9   5.28   2.72   3.81  1.50   57   81    106    2.56   0.0%  18.3%   8.5%    9.9%  29  L     Yakult Swallows     CL
104      Takahashi Keiji   2  1  1   0    0   0    0   48  12.0   7   0  13   6    0   0   2   2   2   1.50   2.19   3.34  1.08  199   65     92   -0.69   0.0%  27.1%  12.5%   14.6%  28  L     Yakult Swallows     CL
105  Takanashi Hirotoshi   7  1  2   0    0   0    0  163  40.0  36   3  26  10    0   2   2  14  11   2.48   3.43   3.82  1.15  120  102    106   -0.95   1.8%  16.0%   6.1%    9.8%  34  R     Yakult Swallows     CL
