Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Yamazaki Soichiro,6,2,2,0,0,0,156,35.2,35,3,21,15,0,1,0,16,15,3.79,4.84,4.42,1.40,88,123,118,-1.05,1.9%,13.5%,9.6%,3.8%,ORIX Buffaloes,21,R,WL
Yoshida Kazumasa,18,3,2,0,0,0,142,33.1,39,1,24,5,0,1,7,16,11,2.97,3.07,3.46,1.32,112,78,93,-0.10,0.7%,16.9%,3.5%,13.4%,ORIX Buffaloes,29,R,WL
Yoshida Ryo,29,3,0,1,0,0,101,26.0,19,1,37,8,0,0,1,4,4,1.38,2.15,1.93,1.04,241,55,52,-0.77,1.0%,36.6%,7.9%,28.7%,ORIX Buffaloes,22,R,WL
Abe Kazunari,48,2,1,3,0,0,172,42.2,34,5,31,16,0,1,0,17,13,2.74,4.84,3.93,1.17,133,112,105,-2.10,2.9%,18.0%,9.3%,8.7%,Lotte Marines,30,R,EL
Azuma Yusuke,25,0,1,0,0,0,119,26.0,24,3,28,16,0,2,1,15,14,4.85,5.00,3.79,1.54,75,116,102,-0.15,2.5%,23.5%,13.4%,10.1%,Lotte Marines,23,R,EL
Bolsinger Mike,3,1,0,0,0,0,28,7.0,4,0,5,3,0,0,0,1,1,1.29,3.43,4.09,1.00,283,80,109,-2.14,0.0%,17.9%,10.7%,7.1%,Lotte Marines,31,R,EL
Chen Kuan-Yu,2,0,0,0,0,0,14,4.0,1,0,6,1,0,0,0,0,0,0.00,1.33,1.23,0.50,999,31,33,-1.33,0.0%,42.9%,7.1%,35.7%,Lotte Marines,28,L,EL
Dohi Seiya,16,9,2,0,0,0,381,95.2,82,7,83,18,0,4,3,27,25,2.35,3.48,3.09,1.05,155,81,83,-1.13,1.8%,21.8%,4.7%,17.1%,Lotte Marines,23,L,EL
Doi Hideto,10,0,0,0,0,0,60,12.0,12,2,9,12,0,1,1,13,13,9.75,7.49,5.30,2.00,37,174,142,2.26,3.3%,15.0%,20.0%,-5.0%,Lotte Marines,19,R,EL
Furuya Takuro,13,6,4,0,0,0,221,50.0,62,5,27,11,0,2,2,30,28,5.04,4.58,4.08,1.46,72,106,109,0.46,2.3%,12.2%,5.0%,7.2%,Lotte Marines,19,R,EL
Futaki Kota,3,0,1,0,0,0,65,16.0,15,0,17,4,0,0,1,7,5,2.81,2.20,2.80,1.19,130,51,75,0.61,0.0%,26.2%,6.2%,20.0%,Lotte Marines,23,R,EL
Hara Shu,20,3,3,0,0,0,224,54.0,43,4,58,23,0,2,3,24,22,3.67,3.78,3.24,1.22,99,88,87,-0.11,1.8%,25.9%,10.3%,15.6%,Lotte Marines,21,R,EL
Ishizaki Tsuyoshi,21,1,2,0,0,0,106,24.2,22,2,36,5,0,3,1,15,14,5.11,2.68,1.88,1.09,71,62,50,2.43,1.9%,34.0%,4.7%,29.2%,Lotte Marines,28,R,EL
Iwashita Daiki,5,1,1,0,0,0,75,16.2,13,0,8,12,0,1,2,6,6,3.24,4.96,5.33,1.50,113,115,143,-1.72,0.0%,10.7%,16.0%,-5.3%,Lotte Marines,22,R,EL
Kamata Mizuki,28,0,2,2,0,0,109,26.1,16,1,26,19,0,0,3,15,15,5.13,4.26,4.16,1.33,71,99,111,0.87,0.9%,23.9%,17.4%,6.4%,Lotte Marines,23,R,EL
Karakawa Yuki,7,1,1,0,0,0,33,7.0,10,0,11,1,0,0,0,4,4,5.14,0.86,1.77,1.57,71,20,47,4.28,0.0%,33.3%,3.0%,30.3%,Lotte Marines,29,R,EL
Mann Brandon,15,2,0,0,0,0,181,43.1,39,2,48,16,0,1,1,22,21,4.36,3.14,3.03,1.27,84,73,81,1.22,1.1%,26.5%,8.8%,17.7%,Lotte Marines,35,L,EL
Matsunaga Takahiro,6,1,0,0,0,0,23,5.1,5,0,5,3,0,0,0,2,2,3.38,3.39,3.93,1.50,108,79,105,-0.01,0.0%,21.7%,13.0%,8.7%,Lotte Marines,31,L,EL
Minami Masaki,36,3,4,8,0,0,138,34.0,26,1,44,11,0,0,4,9,8,2.12,2.34,2.41,1.09,172,54,65,-0.22,0.7%,31.9%,8.0%,23.9%,Lotte Marines,30,R,EL
Mori Ryotaro,17,2,2,0,0,0,170,34.1,52,1,26,13,0,5,7,31,24,6.29,4.01,4.04,1.89,58,93,108,2.28,0.6%,15.3%,7.6%,7.6%,Lotte Marines,20,R,EL
Nagano Shoji,39,1,0,3,0,0,179,41.2,27,1,44,27,0,2,5,18,14,3.02,3.86,3.85,1.30,121,90,103,-0.84,0.6%,24.6%,15.1%,9.5%,Lotte Marines,26,L,EL
Nakamura Toshiya,16,6,4,0,0,0,344,88.1,64,5,70,26,0,3,0,27,26,2.65,3.71,3.52,1.02,138,86,94,-1.06,1.5%,20.3%,7.6%,12.8%,Lotte Marines,22,L,EL
Narita Kakeru,51,3,2,2,0,0,219,54.1,39,6,47,22,0,1,0,20,17,2.82,4.55,3.66,1.12,129,106,98,-1.73,2.7%,21.5%,10.0%,11.4%,Lotte Marines,21,L,EL
Nishino Yuji,3,0,0,0,0,0,52,12.1,11,0,14,4,0,0,0,3,3,2.19,2.28,2.88,1.22,166,53,77,-0.09,0.0%,26.9%,7.7%,19.2%,Lotte Marines,28,R,EL
Ojima Kazuya,14,4,2,0,0,0,311,78.0,62,6,81,32,0,1,1,19,16,1.85,3.77,3.22,1.21,197,87,86,-1.92,1.9%,26.0%,10.3%,15.8%,Lotte Marines,22,L,EL
Otani Tomohisa,34,3,3,8,0,0,140,34.1,30,3,39,6,0,0,1,9,6,1.57,2.96,2.44,1.05,232,69,65,-1.39,2.1%,27.9%,4.3%,23.6%,Lotte Marines,34,R,EL
Ravin Josh,24,2,1,1,0,0,98,21.1,11,0,24,20,0,0,3,11,10,4.22,4.14,4.39,1.45,86,96,118,0.08,0.0%,24.5%,20.4%,4.1%,Lotte Marines,31,R,EL
Sakai Tomohito,2,0,0,0,0,0,7,2.0,0,0,2,1,0,0,0,0,0,0.00,3.08,3.37,0.50,999,71,90,-3.08,0.0%,28.6%,14.3%,14.3%,Lotte Marines,26,R,EL
Sasaki Chihaya,13,3,2,0,0,0,213,49.1,51,3,32,16,0,2,2,24,23,4.20,4.16,4.05,1.36,87,97,108,0.04,1.4%,15.0%,7.5%,7.5%,Lotte Marines,25,R,EL
Sekiya Ryota,32,6,7,0,0,0,358,86.2,82,9,57,31,0,4,2,38,34,3.53,4.82,4.07,1.30,103,112,109,-1.29,2.5%,15.9%,8.7%,7.3%,Lotte Marines,28,R,EL
Shima Takaaki,20,0,1,0,0,0,76,18.0,10,2,11,16,0,0,0,5,4,2.00,6.46,5.46,1.44,182,150,146,-4.46,2.6%,14.5%,21.1%,-6.6%,Lotte Marines,21,R,EL
Takano Keisuke,14,0,0,0,0,0,58,13.0,19,1,6,3,0,2,1,7,7,4.85,4.81,4.28,1.69,75,111,115,0.04,1.7%,10.3%,5.2%,5.2%,Lotte Marines,27,R,EL
Tanaka Yasuhiro,9,2,0,0,0,0,40,10.2,9,1,7,1,0,1,0,4,4,3.38,4.04,3.30,0.94,108,94,88,-0.66,2.5%,17.5%,2.5%,15.0%,Lotte Marines,32,R,EL
Taneichi Atsuki,1,0,0,0,0,0,10,3.0,0,0,7,1,0,0,1,0,0,0.00,-0.09,-1.20,0.33,999,-2,-32,0.09,0.0%,70.0%,10.0%,60.0%,Lotte Marines,20,R,EL
Wakui Hideaki,7,1,3,0,0,0,146,34.1,36,3,29,7,0,0,0,25,18,4.72,3.63,3.29,1.25,77,84,88,1.09,2.1%,19.9%,4.8%,15.1%,Lotte Marines,33,R,EL
Watanabe Keita,25,2,1,0,0,0,100,24.2,16,1,18,11,0,1,1,9,7,2.55,4.10,4.10,1.09,143,95,110,-1.55,1.0%,18.0%,11.0%,7.0%,Lotte Marines,25,R,EL
Yamamoto Daiki,47,1,2,1,0,0,192,44.1,40,1,34,26,0,2,4,17,16,3.25,4.23,4.38,1.49,112,98,117,-0.98,0.5%,17.7%,13.5%,4.2%,Lotte Marines,23,L,EL
Bando Yugo,21,3,5,0,0,0,309,71.2,84,4,50,11,0,3,2,45,33,4.14,3.49,3.54,1.33,85,84,95,0.65,1.3%,16.2%,3.6%,12.6%,SoftBank Hawks,23,R,WL
Furuya Yuto,17,2,1,0,0,0,158,35.2,24,2,28,29,0,4,3,17,10,2.52,5.51,4.86,1.49,139,133,130,-2.99,1.3%,17.7%,18.4%,-0.6%,SoftBank Hawks,20,L,WL
Hasegawa Hiroki,9,1,2,0,0,0,113,22.1,28,5,27,15,0,0,2,23,15,6.04,6.08,3.74,1.93,58,147,100,-0.04,4.4%,23.9%,13.3%,10.6%,SoftBank Hawks,20,L,WL
Ishikawa Shuta,2,0,0,0,0,0,7,2.0,1,0,2,0,0,0,0,0,0,0.00,1.58,1.94,0.50,999,38,52,-1.58,0.0%,28.6%,0.0%,28.6%,SoftBank Hawks,27,R,WL
Iwasaki Sho,13,2,0,0,0,0,59,14.1,16,0,11,3,0,0,0,4,4,2.51,2.67,3.44,1.33,140,64,92,-0.16,0.0%,18.6%,5.1%,13.6%,SoftBank Hawks,29,R,WL
Izumi Keisuke,23,2,3,1,0,0,217,49.1,57,5,32,19,0,3,4,31,28,5.11,4.93,4.20,1.54,69,119,113,0.18,2.3%,14.7%,8.8%,6.0%,SoftBank Hawks,22,R,WL
Kajiya Ren,16,2,1,5,0,0,68,18.0,13,2,15,5,0,0,0,5,5,2.50,4.19,3.33,1.00,140,101,89,-1.69,2.9%,22.1%,7.4%,14.7%,SoftBank Hawks,27,R,WL
Kasahara Taiga,15,5,2,0,0,0,149,37.0,30,2,27,14,0,0,2,16,14,3.41,3.95,3.93,1.19,103,95,105,-0.54,1.3%,18.1%,9.4%,8.7%,SoftBank Hawks,24,L,WL
Kasaya Shunsuke,26,4,5,2,0,0,308,73.0,52,1,56,40,2,4,8,32,25,3.08,4.03,4.28,1.26,114,97,115,-0.95,0.3%,18.2%,13.0%,5.2%,SoftBank Hawks,22,L,WL
Kawahara Hiroyuki,21,2,0,7,0,0,91,23.0,13,3,20,11,1,1,1,9,7,2.74,5.10,3.81,1.04,128,123,102,-2.36,3.3%,22.0%,12.1%,9.9%,SoftBank Hawks,27,L,WL
Kayama Shinya,5,0,0,0,0,0,16,4.2,2,0,6,0,0,0,0,0,0,0.00,1.00,1.05,0.43,999,24,28,-1.00,0.0%,37.5%,0.0%,37.5%,SoftBank Hawks,29,L,WL
Kozawa Reiji,8,0,1,0,0,0,43,9.1,6,0,11,8,0,0,0,2,2,1.93,3.79,4.10,1.50,182,91,110,-1.86,0.0%,25.6%,18.6%,7.0%,SoftBank Hawks,21,R,WL
Matsuda Ryoma,1,0,1,0,0,0,12,3.0,2,1,3,1,0,0,0,1,1,3.00,6.91,3.13,1.00,117,167,84,-3.91,8.3%,25.0%,8.3%,16.7%,SoftBank Hawks,25,R,WL
Matsumoto Yuki,11,3,1,0,0,0,191,47.0,40,1,40,12,0,1,0,14,9,1.72,2.98,3.33,1.11,204,72,89,-1.26,0.5%,20.9%,6.3%,14.7%,SoftBank Hawks,23,R,WL
Miranda Ariel,5,0,2,0,0,0,96,25.0,17,3,20,6,0,0,1,8,7,2.52,4.26,3.34,0.92,139,103,90,-1.74,3.1%,20.8%,6.2%,14.6%,SoftBank Hawks,30,L,WL
Mori Yuito,2,0,0,0,0,0,6,2.0,1,0,3,0,0,0,0,0,0,0.00,0.58,-0.20,0.50,999,14,-5,-0.58,0.0%,50.0%,0.0%,50.0%,SoftBank Hawks,27,R,WL
Nakata Kenichi,21,6,3,0,0,0,414,95.1,98,3,58,40,0,3,4,35,32,3.02,4.12,4.37,1.45,116,99,117,-1.10,0.7%,14.0%,9.7%,4.3%,SoftBank Hawks,37,R,WL
Niho Akira,20,3,2,2,0,0,207,50.0,51,1,34,12,0,3,3,15,14,2.52,3.38,3.74,1.26,139,81,100,-0.86,0.5%,16.4%,5.8%,10.6%,SoftBank Hawks,29,R,WL
Nozawa Yuto,3,0,0,0,0,0,15,4.1,2,0,4,1,0,1,0,1,0,0.00,3.11,2.80,0.69,999,75,75,-3.11,0.0%,26.7%,6.7%,20.0%,SoftBank Hawks,21,R,WL
Ogata Shuto,1,0,0,0,0,0,6,0.2,2,0,0,1,0,1,0,2,2,27.00,12.58,6.47,4.50,13,303,173,14.42,0.0%,0.0%,16.7%,-16.7%,SoftBank Hawks,20,R,WL
Okamoto Ken,33,2,1,1,0,0,153,35.0,32,2,21,13,1,1,2,19,12,3.09,4.32,4.28,1.29,113,104,115,-1.23,1.3%,13.7%,8.5%,5.2%,SoftBank Hawks,26,R,WL
Okumura Masato,16,0,0,0,0,0,77,16.1,18,0,17,8,0,2,2,13,11,6.06,3.33,3.63,1.59,58,80,97,2.73,0.0%,22.1%,10.4%,11.7%,SoftBank Hawks,26,R,WL
Otake Kotaro,8,0,2,0,0,0,116,26.1,34,0,25,3,1,0,0,18,16,5.47,2.02,2.90,1.41,64,49,78,3.45,0.0%,21.6%,2.6%,19.0%,SoftBank Hawks,24,L,WL
Shigeta Tomoaki,2,0,0,0,0,0,7,2.0,1,0,0,2,0,0,0,0,0,0.00,6.58,7.66,1.50,999,159,205,-6.58,0.0%,0.0%,28.6%,-28.6%,SoftBank Hawks,23,R,WL
Shiino Arata,11,3,0,2,0,0,95,23.2,21,2,21,5,0,0,2,7,6,2.28,3.53,3.12,1.10,154,85,83,-1.25,2.1%,22.1%,5.3%,16.8%,SoftBank Hawks,23,R,WL
Shimabukuro Yosuke,3,1,0,0,0,0,39,9.0,9,0,7,3,0,1,0,9,6,6.00,3.35,3.77,1.33,58,81,101,2.65,0.0%,17.9%,7.7%,10.3%,SoftBank Hawks,26,L,WL
Suarez Robert,12,2,2,0,0,0,211,54.0,41,4,37,13,0,1,1,17,16,2.67,3.95,3.66,1.00,131,95,98,-1.28,1.9%,17.5%,6.2%,11.4%,SoftBank Hawks,28,R,WL
Sugiyama Kazuki,22,4,0,0,0,0,151,36.0,23,2,25,17,0,4,4,12,10,2.50,4.66,4.27,1.11,140,112,114,-2.16,1.3%,16.6%,11.3%,5.3%,SoftBank Hawks,21,R,WL
Takahashi Jumpei,11,2,2,2,0,0,98,27.0,17,0,22,4,0,0,2,4,2,0.67,2.39,2.96,0.78,523,58,79,-1.72,0.0%,22.4%,4.1%,18.4%,SoftBank Hawks,22,R,WL
Takeda Shota,3,1,1,0,0,0,55,14.1,8,1,13,6,0,0,1,4,4,2.51,3.92,3.53,0.98,140,95,94,-1.41,1.8%,23.6%,10.9%,12.7%,SoftBank Hawks,26,R,WL
Tanaka Seigi,25,0,2,2,0,0,113,30.0,14,2,31,9,0,0,1,6,6,1.80,3.28,2.85,0.77,195,79,76,-1.48,1.8%,27.4%,8.0%,19.5%,SoftBank Hawks,24,R,WL
Taura Fumimaru,31,2,1,2,0,0,151,34.1,32,4,30,11,2,5,3,19,19,4.98,4.74,3.54,1.25,70,114,95,0.24,2.6%,19.9%,7.3%,12.6%,SoftBank Hawks,19,L,WL
van den Hurk Rick,5,2,1,0,0,0,90,24.0,15,1,28,6,0,0,0,5,4,1.50,2.53,2.36,0.88,234,61,63,-1.03,1.1%,31.1%,6.7%,24.4%,SoftBank Hawks,34,R,WL
Wada Tsuyoshi,7,2,2,0,0,0,116,28.2,24,7,20,6,0,0,0,13,11,3.45,5.98,3.59,1.05,102,144,96,-2.53,6.0%,17.2%,5.2%,12.1%,SoftBank Hawks,38,L,WL
Watanabe Takeshi,23,5,0,0,0,0,197,49.2,36,2,29,17,1,3,2,15,15,2.72,4.14,4.19,1.07,129,100,112,-1.42,1.0%,14.7%,8.6%,6.1%,SoftBank Hawks,21,L,WL
Watanabe Yuta,16,1,1,0,0,0,61,14.0,19,1,18,3,0,1,0,7,6,3.86,2.79,2.34,1.57,91,67,63,1.07,1.6%,29.5%,4.9%,24.6%,SoftBank Hawks,27,L,WL
Yoshizumi Haruto,12,0,2,0,0,0,99,20.1,20,1,19,21,0,2,3,12,12,5.31,5.74,5.00,2.02,66,138,134,-0.43,1.0%,19.2%,21.2%,-2.0%,SoftBank Hawks,19,R,WL
Anraku Tomohiro,8,1,2,0,0,0,119,28.1,27,1,20,8,0,1,0,11,11,3.49,3.58,3.79,1.24,100,87,102,-0.09,0.8%,16.8%,6.7%,10.1%,Rakuten Eagles,22,R,EL
Busenitz Alan,14,1,0,3,0,0,43,13.0,2,0,10,4,0,0,0,1,1,0.69,2.96,3.40,0.46,505,72,91,-2.27,0.0%,23.3%,9.3%,14.0%,Rakuten Eagles,28,R,EL
Chiba Kota,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.58,1.47,0.00,999,38,39,-1.58,0.0%,33.3%,0.0%,33.3%,Rakuten Eagles,21,R,EL
Fujihira Shoma,19,9,2,0,3,2,481,117.2,91,9,107,49,0,4,7,41,38,2.91,4.10,3.59,1.19,120,99,96,-1.19,1.9%,22.2%,10.2%,12.1%,Rakuten Eagles,20,R,EL
Fukui Yuya,9,1,2,0,0,0,182,44.2,37,2,36,13,0,2,2,13,13,2.62,3.55,3.54,1.12,133,86,95,-0.93,1.1%,19.8%,7.1%,12.6%,Rakuten Eagles,31,R,EL
Fukuyama Hiroyuki,8,1,3,0,0,0,34,7.2,8,1,1,2,0,0,0,8,5,5.87,5.79,5.09,1.30,59,140,136,0.08,2.9%,2.9%,5.9%,-2.9%,Rakuten Eagles,30,R,EL
Furukawa Yuri,7,3,2,0,1,1,138,36.2,22,1,32,12,0,1,0,7,7,1.72,3.25,3.35,0.93,203,79,90,-1.53,0.7%,23.2%,8.7%,14.5%,Rakuten Eagles,23,R,EL
Hamaya Kodai,4,0,0,0,0,0,19,4.1,4,0,10,2,0,0,0,1,1,2.08,0.35,0.59,1.38,168,8,16,1.73,0.0%,52.6%,10.5%,42.1%,Rakuten Eagles,26,L,EL
Herrmann Frank,7,0,0,0,0,0,27,7.0,4,0,9,3,0,0,2,0,0,0.00,2.29,2.58,1.00,999,56,69,-2.29,0.0%,33.3%,11.1%,22.2%,Rakuten Eagles,35,R,EL
Hikiji Shuichiro,10,1,3,0,0,0,155,29.2,49,2,14,24,0,0,1,34,33,10.01,5.94,5.45,2.46,35,144,146,4.07,1.3%,9.0%,15.5%,-6.5%,Rakuten Eagles,19,R,EL
Ikeda Takahide,6,3,0,0,0,0,110,23.2,31,2,17,7,0,1,1,15,13,4.94,4.25,3.89,1.61,71,103,104,0.69,1.8%,15.5%,6.4%,9.1%,Rakuten Eagles,24,R,EL
Kamata Yoshinao,16,3,3,0,0,0,309,76.1,65,3,78,16,0,3,2,23,18,2.12,2.79,2.79,1.06,164,68,75,-0.67,1.0%,25.2%,5.2%,20.1%,Rakuten Eagles,25,R,EL
Karashima Wataru,1,0,0,0,0,0,4,0.2,0,0,1,1,0,1,0,0,0,0.00,9.58,4.80,1.50,999,232,129,-9.58,0.0%,25.0%,25.0%,0.0%,Rakuten Eagles,28,L,EL
Kimura Toshiyasu,25,2,0,0,0,0,182,41.1,37,3,33,21,1,9,2,18,18,3.92,5.10,4.14,1.40,89,124,111,-1.18,1.6%,18.1%,11.5%,6.6%,Rakuten Eagles,23,R,EL
Kishi Takayuki,3,1,0,0,0,0,49,13.0,10,3,12,0,0,1,0,5,5,3.46,4.96,2.35,0.77,101,120,63,-1.50,6.1%,24.5%,0.0%,24.5%,Rakuten Eagles,34,R,EL
Kondo Hiroki,29,3,5,1,0,0,218,48.2,54,5,53,17,1,2,4,37,28,5.18,3.90,3.15,1.46,67,95,84,1.28,2.3%,24.3%,7.8%,16.5%,Rakuten Eagles,24,R,EL
Konno Ryuta,30,1,3,2,0,0,195,45.0,41,2,46,23,0,2,4,20,17,3.40,3.78,3.62,1.42,103,92,97,-0.38,1.0%,23.6%,11.8%,11.8%,Rakuten Eagles,24,R,EL
Kubo Yuya,23,2,0,5,0,0,93,22.2,18,1,23,7,0,0,3,6,5,1.99,3.05,3.08,1.10,175,74,82,-1.06,1.1%,24.7%,7.5%,17.2%,Rakuten Eagles,39,R,EL
Kumabara Kento,12,5,3,0,0,0,213,52.0,39,1,45,30,0,1,3,23,18,3.12,3.88,4.10,1.33,112,94,110,-0.76,0.5%,21.1%,14.1%,7.0%,Rakuten Eagles,25,R,EL
Mori Yudai,7,0,0,0,0,0,52,12.0,12,0,10,5,0,1,0,8,7,5.25,3.41,3.84,1.42,66,83,103,1.84,0.0%,19.2%,9.6%,9.6%,Rakuten Eagles,24,L,EL
Nishiguchi Naoto,3,2,1,0,0,0,48,11.0,14,2,9,4,0,0,0,6,6,4.91,5.39,3.76,1.64,71,131,101,-0.48,4.2%,18.8%,8.3%,10.4%,Rakuten Eagles,22,R,EL
Nishimiya Yusuke,39,2,3,2,0,0,144,34.2,26,0,40,19,1,1,0,7,7,1.82,3.00,3.34,1.30,192,73,90,-1.18,0.0%,27.8%,13.2%,14.6%,Rakuten Eagles,28,L,EL
Nomoto Hiroki,7,1,1,0,0,0,44,10.0,10,1,6,4,0,2,1,6,4,3.60,5.48,4.35,1.40,97,133,116,-1.88,2.3%,13.6%,9.1%,4.5%,Rakuten Eagles,21,R,EL
Norimoto Takahiro,3,2,0,0,0,0,56,15.0,11,1,16,2,0,0,0,2,2,1.20,2.71,2.30,0.87,291,66,62,-1.51,1.8%,28.6%,3.6%,25.0%,Rakuten Eagles,28,R,EL
Norimoto Yoshiki,5,0,0,0,0,0,24,5.0,4,1,3,5,0,1,0,2,2,3.60,8.58,5.63,1.80,97,208,151,-4.98,4.2%,12.5%,20.8%,-8.3%,Rakuten Eagles,25,R,EL
Ono Fumiya,35,2,3,14,0,0,165,38.0,31,1,53,18,1,2,4,16,14,3.32,2.71,2.68,1.29,105,66,72,0.61,0.6%,32.1%,10.9%,21.2%,Rakuten Eagles,22,R,EL
Sato Tomoki,2,0,0,0,0,0,8,2.0,1,0,1,1,0,0,0,0,0,0.00,4.08,4.80,1.00,999,99,129,-4.08,0.0%,12.5%,12.5%,0.0%,Rakuten Eagles,19,L,EL
Sato Yoshinori,13,3,0,2,0,0,120,30.1,23,0,25,6,0,0,3,7,6,1.78,2.52,3.22,0.96,196,61,86,-0.74,0.0%,20.8%,5.0%,15.8%,Rakuten Eagles,29,R,EL
Shiomi Takahiro,5,2,0,0,0,0,89,25.0,14,1,23,2,0,1,0,4,2,0.72,2.62,2.44,0.64,484,63,65,-1.90,1.1%,25.8%,2.2%,23.6%,Rakuten Eagles,30,L,EL
Sugahara Shu,12,5,2,0,0,0,253,59.0,56,4,45,33,0,2,5,23,20,3.05,4.71,4.33,1.51,114,114,116,-1.66,1.6%,17.8%,13.0%,4.7%,Rakuten Eagles,25,R,EL
Sung Chia-Hao,14,0,2,4,0,0,58,12.0,13,2,12,7,0,1,1,7,7,5.25,5.74,3.94,1.67,66,139,105,-0.49,3.4%,20.7%,12.1%,8.6%,Rakuten Eagles,26,R,EL
Suzuki Sora,2,0,1,0,0,0,31,7.0,8,2,8,3,0,0,0,5,5,6.43,6.29,3.19,1.57,54,152,85,0.14,6.5%,25.8%,9.7%,16.1%,Rakuten Eagles,22,L,EL
Takanashi Yuhei,10,0,0,0,0,0,28,6.2,4,0,10,2,1,1,0,0,0,0.00,1.93,1.94,0.90,999,47,52,-1.93,0.0%,35.7%,7.1%,28.6%,Rakuten Eagles,26,L,EL
Teraoka Kanji,51,3,3,0,0,0,180,43.2,31,1,39,27,3,1,3,11,8,1.65,4.01,4.13,1.33,211,97,111,-2.36,0.6%,21.7%,15.0%,6.7%,Rakuten Eagles,26,R,EL
Tomura Kenji,19,5,2,0,0,0,276,69.1,60,4,46,14,0,5,2,21,17,2.21,3.82,3.64,1.07,158,93,98,-1.61,1.4%,16.7%,5.1%,11.6%,Rakuten Eagles,31,R,EL
Tsuruta Keisuke,8,0,0,0,0,0,35,9.0,3,0,8,5,0,1,0,0,0,0.00,3.80,3.94,0.89,999,92,106,-3.80,0.0%,22.9%,14.3%,8.6%,Rakuten Eagles,25,L,EL
Watanabe Yuki,22,3,2,1,0,0,229,51.1,52,2,36,25,0,2,3,19,17,2.98,4.26,4.32,1.50,117,103,116,-1.28,0.9%,15.7%,10.9%,4.8%,Rakuten Eagles,23,L,EL
Yuge Hayato,10,3,0,0,0,0,166,40.0,31,4,26,19,0,1,0,15,13,2.93,5.08,4.38,1.25,119,123,117,-2.15,2.4%,15.7%,11.4%,4.2%,Rakuten Eagles,25,L,EL
Aiuchi Makoto,20,6,6,1,1,0,419,100.1,81,9,79,39,0,7,1,41,32,2.87,4.54,3.85,1.20,125,107,103,-1.67,2.1%,18.9%,9.3%,9.5%,Seibu Lions,24,R,EL
Awatsu Kaito,32,3,2,0,0,0,203,47.1,46,3,33,17,0,4,1,29,24,4.56,4.34,4.01,1.33,79,102,107,0.22,1.5%,16.3%,8.4%,7.9%,Seibu Lions,22,R,EL
Castillo Fabio,1,0,0,0,0,0,4,1.0,1,0,0,1,0,0,0,0,0,0.00,6.58,7.30,2.00,999,155,196,-6.58,0.0%,0.0%,25.0%,-25.0%,Seibu Lions,30,R,EL
Enokida Daiki,7,1,3,0,0,0,143,32.2,36,2,31,8,0,2,0,18,10,2.76,3.39,3.19,1.35,130,80,85,-0.63,1.4%,21.7%,5.6%,16.1%,Seibu Lions,32,L,EL
Fujita Koki,27,1,1,0,0,0,105,23.0,23,2,24,12,0,4,0,17,15,5.87,4.71,3.66,1.52,61,111,98,1.16,1.9%,22.9%,11.4%,11.4%,Seibu Lions,21,L,EL
Heath Deunte,4,0,0,0,0,0,15,4.0,2,1,4,1,0,0,0,3,3,6.75,5.58,2.80,0.75,53,131,75,1.17,6.7%,26.7%,6.7%,20.0%,Seibu Lions,33,R,EL
Honda Keisuke,6,2,0,0,1,1,149,38.0,29,2,24,13,0,0,0,10,10,2.37,4.02,4.06,1.11,152,95,109,-1.65,1.3%,16.1%,8.7%,7.4%,Seibu Lions,26,R,EL
Imai Tatsuya,1,0,0,0,0,0,11,3.0,1,0,6,0,0,1,0,0,0,0.00,0.58,-0.65,0.33,999,14,-18,-0.58,0.0%,54.5%,0.0%,54.5%,Seibu Lions,21,R,EL
Ito Sho,13,3,7,0,1,0,286,66.2,71,7,37,21,0,2,7,43,28,3.78,4.87,4.24,1.38,95,115,114,-1.09,2.4%,12.9%,7.3%,5.6%,Seibu Lions,20,R,EL
Koishi Hirotaka,32,1,2,2,0,0,192,48.0,35,5,36,15,0,1,0,16,14,2.63,4.43,3.71,1.04,137,104,99,-1.80,2.6%,18.8%,7.8%,10.9%,Seibu Lions,32,L,EL
Kokuba Tsubasa,21,4,0,2,0,0,122,29.2,28,0,22,6,0,2,4,9,7,2.12,2.90,3.49,1.15,169,68,93,-0.78,0.0%,18.0%,4.9%,13.1%,Seibu Lions,25,R,EL
Kuo Chun-Lin,12,2,2,0,1,1,252,62.0,51,8,33,24,0,5,1,21,21,3.05,5.59,4.44,1.21,118,132,119,-2.54,3.2%,13.1%,9.5%,3.6%,Seibu Lions,27,R,EL
Liao Jen-Lei,26,0,2,0,0,0,142,29.2,19,2,32,33,0,2,4,16,13,3.94,5.83,4.87,1.75,91,137,130,-1.89,1.4%,22.5%,23.2%,-0.7%,Seibu Lions,25,R,EL
Martin Kyle,5,0,0,0,0,0,22,5.0,6,1,5,3,0,1,0,1,1,1.80,6.58,3.89,1.80,200,155,104,-4.78,4.5%,22.7%,13.6%,9.1%,Seibu Lions,28,R,EL
Matsumoto Naoaki,26,0,2,3,0,0,125,28.0,33,3,18,10,0,0,4,19,14,4.50,4.75,4.16,1.54,80,112,111,-0.25,2.4%,14.4%,8.0%,6.4%,Seibu Lions,28,R,EL
