Batter,Team,Bats,PA,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Franco Maikel,Rakuten,R,347,18.73198847,6.628242075,52.36985237,73.05194805,33.33333333,68.84272997,83.77777778,38.83928571,16.31701632,31.15727003,28.9044289,59.12975913,40.625,50.390625,8.984375,33.984375,16.40625,59.375,2.017291066,5.426356589,44.53125,39.84375,15.625,21.78988327
Kurokawa Fumiya,Rakuten,L,343,16.32653061,9.620991254,43.08111793,58.86990802,25.98870056,85.12658228,88.16964286,77.7173913,6.407634628,14.87341772,27.53919564,58.00954329,46.55870445,39.27125506,14.17004049,31.57894737,7.692307692,53.44129555,1.166180758,4.12371134,27.93522267,44.53441296,27.53036437,12.8
Yamamoto Yuudai,DeNA,R,342,11.69590643,4.093567251,44.84096199,58.32127352,29.21535893,87.19723183,93.5483871,72.57142857,5.740884407,12.80276817,27.30799069,60.66718386,42.70072993,50.72992701,6.569343066,38.68613139,12.04379562,57.29927007,0.8771929825,2.158273381,37.59124088,39.41605839,22.99270073,18.3745583
Yano Masaya,Hiroshima,L,337,20.47477745,7.715133531,46.2380301,64.60176991,24.55357143,81.36094675,87.08414873,63.63636364,8.618331053,18.63905325,26.60738714,61.14911081,55.75221239,37.16814159,7.079646018,28.31858407,8.849557522,44.24778761,0.296735905,1.19047619,27.87610619,38.9380531,33.18584071,8.154506438
Mizuno Tatsuki,Nipponham,L,332,20.18072289,6.325301205,47.96488428,67.52411576,28.68462758,76.2063228,86.66666667,51.93370166,11.41260974,23.7936772,27.1348763,57.94094174,43.29004329,50.21645022,6.493506494,41.55844156,8.658008658,56.70995671,2.108433735,6.034482759,39.39393939,40.69264069,19.91341991,14.71861472
Kurihara Ryoya,SoftBank,L,331,20.24169184,11.78247734,47.14076246,72.12121212,23.72159091,75.58320373,84.87394958,49.10179641,11.51026393,24.41679627,24.70674487,54.98533724,37.27272727,51.81818182,10.90909091,45.0,6.818181818,62.72727273,2.416918429,7.01754386,35.0,51.36363636,13.63636364,13.90134529
Koga Yuto,Seibu,R,330,18.78787879,9.696969697,40.29520295,58.23129252,19.03225806,80.03663004,86.91588785,55.08474576,8.044280443,19.96336996,30.18450185,57.78597786,45.68965517,44.82758621,9.482758621,30.17241379,14.65517241,54.31034483,2.121212121,6.730769231,34.9137931,43.10344828,21.98275862,17.09401709
Mizutani Shun,Nipponham,R,322,23.60248447,5.279503106,48.45276873,68.21192053,29.28,73.1092437,85.9223301,44.26229508,13.02931596,26.8907563,28.58306189,57.49185668,34.23423423,57.65765766,8.108108108,49.0990991,8.558558559,65.76576577,3.726708075,9.375,32.88288288,42.79279279,24.32432432,17.04035874
Tomosugi Atsuki,Lotte,R,319,14.4200627,4.388714734,42.52411576,57.30824891,24.05063291,85.06616257,91.41414141,66.16541353,6.350482315,14.93383743,28.37620579,60.93247588,45.41832669,43.42629482,11.15537849,32.27091633,11.15537849,54.58167331,0.3134796238,0.9174311927,39.0438247,37.84860558,23.10756972,19.140625
Nakayama Raito,Yomiuri,L,311,13.50482315,6.109324759,44.20677362,62.5,25.45126354,82.66129032,93.8028169,54.60992908,7.664884135,17.33870968,26.47058824,56.23885918,50.20576132,42.38683128,7.407407407,32.51028807,9.87654321,49.79423868,2.250803859,6.796116505,39.09465021,40.74074074,20.16460905,15.78947368
Isobata Ryota,Nipponham,L,306,23.85620915,5.882352941,49.95829858,70.30015798,27.20848057,77.4624374,86.74157303,50.64935065,11.25938282,22.5375626,26.77231026,60.0500417,45.23809524,42.38095238,12.38095238,28.57142857,13.80952381,54.76190476,0.3267973856,1.123595506,40.95238095,41.9047619,17.14285714,16.43192488
Kondoh Kensuke,SoftBank,L,305,14.09836066,13.7704918,39.14447135,61.20556414,15.0084317,82.68041237,87.12121212,62.92134831,6.779661017,17.31958763,26.79580307,52.86521388,46.69811321,43.86792453,9.433962264,41.03773585,2.830188679,53.30188679,3.278688525,10.75268817,33.96226415,44.81132075,21.22641509,13.48837209
Watarai Ryuki,DeNA,L,303,11.88118812,7.590759076,49.39341421,70.90592334,28.05507745,82.98245614,87.46928747,71.7791411,8.405545927,17.01754386,22.35701906,58.05892548,49.56896552,39.65517241,10.77586207,32.32758621,7.327586207,50.43103448,1.98019802,6.52173913,37.5,39.22413793,23.27586207,14.58333333
Kishida Yukinori,Yomiuri,R,298,14.76510067,7.718120805,46.26086957,66.18357488,22.78719397,83.08270677,89.29440389,61.98347107,7.826086957,16.91729323,25.65217391,57.65217391,48.66071429,44.19642857,7.142857143,36.16071429,8.035714286,51.33928571,2.684563758,8.080808081,28.125,50.0,21.875,12.22707424
Obata Ryuhei,Hanshin,L,297,21.54882155,5.050505051,47.07470747,64.03508772,29.15129151,72.84894837,82.46575342,50.63291139,12.78127813,27.15105163,30.2430243,59.9459946,47.82608696,40.09661836,12.07729469,33.81642512,6.280193237,52.17391304,1.683501684,6.024096386,32.36714976,41.06280193,26.57004831,11.21495327
Koga Yudai,Yakult,R,292,7.876712329,3.424657534,51.81818182,67.51824818,32.27990971,89.08382066,93.78378378,76.92307692,5.656565657,10.91617934,22.82828283,62.42424242,61.13360324,27.93522267,10.93117409,23.48178138,4.453441296,38.86639676,0.6849315068,2.898550725,31.57894737,48.58299595,19.83805668,8.73015873
Akahane Yoshihiro,Yakult,R,291,22.68041237,6.18556701,46.70008354,62.32339089,28.92857143,75.31305903,85.39042821,50.61728395,11.52882206,24.68694097,30.65998329,61.9047619,51.24378109,41.29353234,7.462686567,28.35820896,12.93532338,48.75621891,0.6872852234,2.409638554,32.8358209,40.7960199,26.3681592,13.17073171
Okamoto Kazuma,Yomiuri,R,291,11.34020619,10.65292096,44.70989761,67.63110307,24.23263328,79.77099237,90.10695187,54.0,9.044368601,20.22900763,24.06143345,52.55972696,33.1797235,53.91705069,12.90322581,41.47465438,12.44239631,66.8202765,5.154639175,12.82051282,45.16129032,38.70967742,16.12903226,25.0
Hayashi Takuma,DeNA,L,288,18.75,5.208333333,54.47963801,70.36395147,37.0510397,82.05980066,89.16256158,67.34693878,9.773755656,17.94019934,24.43438914,64.25339367,49.27536232,42.51207729,8.212560386,29.95169082,12.56038647,50.72463768,0.6944444444,2.272727273,28.01932367,47.34299517,24.63768116,14.41860465
Masuda Riku,Yomiuri,R,287,21.60278746,4.181184669,57.30550285,76.5625,39.11439114,71.52317881,83.41836735,49.52830189,16.31878558,28.47682119,27.22960152,62.61859583,39.70588235,47.54901961,12.74509804,37.74509804,9.803921569,60.29411765,1.742160279,5.154639175,42.15686275,43.1372549,14.70588235,23.55769231
Umino Takashi,SoftBank,R,280,27.14285714,3.214285714,47.2356935,60.82474227,29.62138085,74.74332649,83.61581921,51.12781955,11.93016489,25.25667351,32.10475267,64.30649855,50.51546392,41.2371134,8.24742268,29.89690722,11.34020619,49.48453608,0.0,0.0,33.50515464,44.84536082,21.64948454,16.49484536
