Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
藤井 亮太,ヤ,RF,7.0,-1.6,-1.6,-,0.0,0.0,0.0,-,-,
荒木 郁也,神,1B,13.0,0.3,0.2,0.0,-,0.1,-0.1,-,-,
荒木 郁也,神,2B,8.0,0.3,0.3,0.0,-,0.0,0.0,-,-,
荒木 郁也,神,LF,1.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
荒木 郁也,神,RF,2.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
ウレーニャ,巨,1B,16.7,-0.2,0.5,-0.1,-,-0.6,-0.2,-,-,
ウレーニャ,巨,3B,1.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
ウレーニャ,巨,LF,17.0,0.6,0.6,-,0.0,0.0,-0.2,-,-,
中山 翔太,ヤ,LF,18.0,-0.6,-1.3,-,0.7,0.0,-0.2,-,-,
中山 翔太,ヤ,RF,72.7,0.0,0.1,-,-0.2,0.0,-0.3,-,-,
石原 彪,楽,C,72.0,0.3,-,-,0.2,0.1,1.0,-1.2,-0.1,
郡 拓也,日,C,18.0,-0.7,-,-,-0.5,-0.2,0.3,-0.4,0.1,
郡 拓也,日,LF,5.0,-0.7,-0.8,-,0.0,0.0,0.0,-,-,
髙城 俊人,デ,C,112.3,-0.7,-,-,-0.6,-0.1,1.6,-1.6,0.3,
板山 祐太郎,神,2B,27.0,1.2,0.9,0.2,-,0.1,0.1,-,-,
宇佐見 真吾,日,C,485.0,0.5,-,-,0.4,0.0,6.9,1.8,-0.2,
森 敬斗,デ,SS,11.0,-2.1,-1.8,-0.3,-,0.0,0.1,-,-,
下妻 貴寛,楽,C,250.3,-3.1,-,-,-3.3,0.2,3.6,-0.8,-1.2,
伊藤 裕季也,デ,2B,10.0,0.1,-0.2,0.2,-,0.0,0.0,-,-,
伊藤 裕季也,デ,3B,23.0,-1.7,-1.7,0.0,-,0.0,-0.1,-,-,
マルテ,神,1B,117.3,-4.5,-2.6,-0.1,-,-1.8,-1.3,-,-,
マルテ,神,3B,104.0,0.3,0.3,-0.2,-,0.2,-0.4,-,-,
山﨑 幹史,楽,2B,28.0,-2.3,-1.7,0.1,-,-0.7,0.1,-,-,
山﨑 幹史,楽,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
山﨑 幹史,楽,LF,2.0,0.1,0.1,-,0.0,0.0,0.0,-,-,
山﨑 幹史,楽,CF,17.0,-0.1,0.1,-,-0.2,0.0,0.1,-,-,
山﨑 幹史,楽,DH,9.0,-,-,-,-,-,-0.1,-,-,
島内 宏明,楽,LF,746.0,11.3,11.0,-,-0.2,0.4,-7.1,-,-,
島内 宏明,楽,CF,40.3,-0.5,-0.3,-,-0.2,0.0,0.1,-,-,
島内 宏明,楽,DH,141.3,-,-,-,-,-,-1.7,-,-,
石川 駿,中,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
石川 駿,中,2B,9.0,0.2,0.0,0.1,-,0.0,0.0,-,-,
石川 駿,中,3B,3.0,-0.4,0.3,-0.1,-,-0.6,0.0,-,-,
谷口 雄也,日,LF,7.0,0.2,0.5,-,-0.2,0.0,-0.1,-,-,
谷口 雄也,日,DH,1.0,-,-,-,-,-,0.0,-,-,
高橋 周平,中,3B,912.0,3.7,-0.6,0.9,-,3.4,-3.5,-,-,
嶺井 博希,デ,C,132.7,2.3,-,-,2.0,0.3,1.9,-0.4,0.4,
雄平,ヤ,RF,213.0,0.1,-2.5,-,2.5,0.1,-0.8,-,-,
菅野 剛士,ロ,1B,82.0,-0.5,-0.9,0.0,-,0.4,-0.9,-,-,
菅野 剛士,ロ,LF,404.3,13.1,13.3,-,-0.4,0.3,-3.8,-,-,
