                   Player    G   PA   AB    R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
134            Lopez Jose  142  597  551   69  133  28   0  31  254   84   0   0   0   3  107   39    6   4   18  0.241  0.295  0.461  0.756   106  0.220  0.245   17.9%    6.5%  0.36  -0.1   29.6%  35    3  R       DeNA BayStars     CL
135          Maeda Yamato  137  490  438   42  104  17   2   0  125   37   3   1  10   2   75   34    1   6    7  0.237  0.300  0.285  0.585    64  0.048  0.285   15.3%    6.9%  0.45   0.0   22.2%  31    6  R       DeNA BayStars     CL
136          Matsui Hyuma    5    5    5    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   20.0%    0.0%  0.00   0.0   20.0%  28       R       DeNA BayStars     CL
138          Minei Hiroki   64  130  114   13   24   4   1   2   36   12   0   0   5   0   23    7    0   4    5  0.211  0.280  0.316  0.596    66  0.105  0.247   17.7%    5.4%  0.30  -0.0   24.6%  28    2  R       DeNA BayStars     CL
141      Miyazaki Toshiro  114  473  433   54  123  22   1  15  192   49   0   0   0   5   35   32    2   3   13  0.284  0.334  0.443  0.777   114  0.159  0.278    7.4%    6.8%  0.91  -0.1   17.3%  30    5  R       DeNA BayStars     CL
142         Momose Hiroki    1    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%    0.0%  0.00   0.0  100.0%  22       L       DeNA BayStars     CL
143             Muto Yuta   31    2    1    0    0   0   0   0    0    0   0   0   1   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000          50.0%    0.0%  0.00   0.0   50.0%  30    1  R       DeNA BayStars     CL
144          Nakagawa Koo    3    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%    0.0%  0.00   0.0  100.0%  19    1  R       DeNA BayStars     CL
145       Nakagawa Taishi    3    3    3    0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%         0.0    0.0%  29       R       DeNA BayStars     CL
146         Nakai Daisuke   79  183  161   24   40   4   0   3   53    7   2   1   3   1   34   18    0   0    9  0.248  0.322  0.329  0.651    82  0.081  0.296   18.6%    9.8%  0.53  -0.1   30.1%  29    4  R       DeNA BayStars     CL
148       Ohnuki Shinichi   15   19   16    1    3   0   0   0    3    0   0   0   3   0    6    0    0   0    0  0.188  0.188  0.188  0.376     6  0.000  0.300   31.6%    0.0%  0.00  -0.0   31.6%  25       R       DeNA BayStars     CL
